twitter_id,date,tweet
1007430130610782208,2018-06-15 01:10:34+00:00,b'@MrJustinGott @porthdreamin A good day indeed! Thank you for being a part of it!'
1007311282217730048,2018-06-14 17:18:19+00:00,"b""@ThatChrisA So...it's been like 6 years...can I post any of those amazing archive pics from the Ranch??? THE WORLD NEEDS TO SEE THEM :D"""
1007303043862257664,2018-06-14 16:45:35+00:00,b'@marcusgilmer https://t.co/3gCaloXGwd'
1007301236729630721,2018-06-14 16:38:24+00:00,"b'@julieannemery BBCA &amp; AMC are part of the same company so you should talk to PR for Preacher and let them know you NEED to be at Doctor Who ""for work reasons""'"
1007286818117599232,2018-06-14 15:41:06+00:00,b'@hatter324 @thatsphunny @dcimprov Yessssssssse'
1006968268752445440,2018-06-13 18:35:18+00:00,b'@IndependentIcon BUT IT FEELS LIKE IT :O'
1006949489385431040,2018-06-13 17:20:41+00:00,"b'I got chills watching this Dumbo trailer, and am going to start doing the therapy work now for the uncontrollable sobbing I will probably do in the theater when it comes out next year. https://t.co/WQgZd4HtTL'"
1006940721230667777,2018-06-13 16:45:50+00:00,b'@BrandonDavisBD It all fits snugly into my ical!'
1006940550077939712,2018-06-13 16:45:09+00:00,"b""Week after next! The lineup is pretty insane. It's been hard to keep it in! @id10t https://t.co/QczWrotSwk"""
1006935298880593920,2018-06-13 16:24:17+00:00,"b""I'm performing @KAABOODelMar on Friday, Sept 14th if you'll be in San Diego/Del Mar that day! Info at https://t.co/qqdHVLism6..."""
1006740238020984837,2018-06-13 03:29:11+00:00,b'@TheWritingFitz 2 weeks!'
1006606137074974720,2018-06-12 18:36:19+00:00,b'@i_hart_nerds Yes!'
1006588946506178560,2018-06-12 17:28:01+00:00,"b""@pennjillette I'm glad I wore my camping tuxedo! Hugs to you, my friend!"""
1006583214180204544,2018-06-12 17:05:14+00:00,"b'#SEATTLE! Thanks to you being nice to me, we added a SECOND show at the Neptune on Friday, October 26th at 9:30p. Costume contest! Candy! Wiener jokes probably! Get tix here -&gt; https://t.co/vnxMHdkw8x'"
1006569544062652416,2018-06-12 16:10:55+00:00,b'@egotisticalepi Valid points!'
1006248737725767681,2018-06-11 18:56:08+00:00,"b'Our culture has become a Naked Gun movie, right? https://t.co/Hj8MqSgVeC'"
1005686594286731265,2018-06-10 05:42:23+00:00,b'@HenryHuiHui @LydiaHearst Not guilty!'
1005642936875286528,2018-06-10 02:48:54+00:00,b'@littlealbatross Me and Gavin Rossdale! And a tampon bunny!'
1005573637011722240,2018-06-09 22:13:32+00:00,b'@TheWoodyShow thanks for having me on! It was a great chat and I appreciate your kindness and thoughtfulness! Happy to come back anytime you\xe2\x80\x99ll have me. Have a great weekend!'
1005570409108926464,2018-06-09 22:00:42+00:00,"b""RT @1iota: Amy Adams! We're really excited to see #AmyAdams chat with Chris @Hardwick on #TalkingHardwick! Join us at the taping ---&gt; https\xe2\x80\xa6"""
1005242476729327616,2018-06-09 00:17:37+00:00,"b'@aussiastronomer @wilw You\xe2\x80\x99re welcome, Jessie! Sending you positive ions and thanking you for making science!'"
1004788320793030656,2018-06-07 18:12:58+00:00,b'@AntiquatedFrank Thank you!!!'
1004570047715536896,2018-06-07 03:45:38+00:00,"b""@AmblinEnt @jayleno @BacktotheFuture I mean it's cool and all but...CHECK OUT THAT 4x4 https://t.co/Xre76WMNyG"""
1004520455653343232,2018-06-07 00:28:34+00:00,b'@AmblinEnt @jayleno @BacktotheFuture Getting a Tweet from Amblin and Back to the Future because Jay Leno and I drove a Delorean at Twin Pines/Lone Pine Mall. DREAMS DO COME TRUE I TELL YOU :D'
1004492962661715968,2018-06-06 22:39:19+00:00,b'This is @shadipetosky my animation partner at @punyent!! If you\xe2\x80\x99re in NY in August you should go say hi to her at #FlameCon! She\xe2\x80\x99s a very inspiring creator and cartoon goddess. https://t.co/CnaYi7bQ26'
1004437127696809984,2018-06-06 18:57:27+00:00,b'@EdwardWKent Thank you!'
1004398170367918080,2018-06-06 16:22:39+00:00,"b""RT @LenosGarage: When this baby hits 88 miles per hour...\n\nDon't miss @Hardwick on #JayLenosGarage tomorrow! https://t.co/AueS4pNajJ"""
1004386337691131904,2018-06-06 15:35:38+00:00,b'@daxshepard Oh I don\xe2\x80\x99t own one! Not YET....'
1004218882050015233,2018-06-06 04:30:13+00:00,"b""@YorkCoPAFAL Oh wow I didn't know that! Thank you!! Been a long time..."""
1004218682438893568,2018-06-06 04:29:26+00:00,"b""Make sure you're BACK IN TIME to catch this. (cue saxophones) https://t.co/GsxJCDmkNf"""
1004213668056162304,2018-06-06 04:09:30+00:00,b'Running...word spreading...protocol... https://t.co/kXSJjTrUG4'
1004213079511404546,2018-06-06 04:07:10+00:00,"b""@JordenClarke I'll get them mid-July, as far as I know! Then from there we can start shipping them out."""
1004111895932989440,2018-06-05 21:25:06+00:00,"b'RT @1iota: Super Fans! Come see the star of @JurassicWorld #FallenKingdom, @prattprattpratt as he sits down to chat w/ Chris @hardwick on t\xe2\x80\xa6'"
1003716661512245248,2018-06-04 19:14:34+00:00,"b'HEY SEATTLE! Why not plan to Halloween weekend NOW? Get tix for second show, come in costume!! https://t.co/IyoajE6Hm3'"
1003716071881207809,2018-06-04 19:12:14+00:00,"b'@PrincessHallee I guess not, since I know about as much as you do at this point'"
1003435245327142912,2018-06-04 00:36:20+00:00,"b""RT @1077TheEnd: Catch another episode of @hardwick's #ID10T podcast at 7pm!:  \n\nbit/ly/TheEndLive https://t.co/HH77fHMHPx"""
1003404276717125632,2018-06-03 22:33:16+00:00,b'FINALLY! Ok I can wait just two measly months. https://t.co/caPmSsNWvj'
1003403966489583617,2018-06-03 22:32:02+00:00,b'@BradleySkelly23 Ha no but I have one of those from a goodwill'
1003158680743755776,2018-06-03 06:17:21+00:00,"b""Dammit all to Hyrule if I didn't just watch some German kid beat the Zelda Breath of the Wild main quest in 38 min w/ 3 hearts and no armor: https://t.co/PiKKLIKAax #TreeSurfing"""
1003085934613544960,2018-06-03 01:28:17+00:00,b'@StevenAnderson7 @nerdist @id10t @ThatKevinSmith \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb'
1002939865820827649,2018-06-02 15:47:52+00:00,b'@btll4ever @id10t @wilw fuck YEAH it does! We should do that.'
1002917223097237504,2018-06-02 14:17:53+00:00,b'I love this guy \xe2\x9d\xa4\xef\xb8\x8f https://t.co/kGQ6kXePzY'
1002588804903927809,2018-06-01 16:32:52+00:00,"b""@BlondeNinja221B @adeline_sky Whaaaaaaaa. You're teasing, yes? Twitter's gotten so toxic lately I just don't come on here as much, so sorry if I missed something!! :)"""
1002438239075033088,2018-06-01 06:34:35+00:00,b'@JakePerry56 Thank you! Nice meeting you! :D'
