twitter_id,date,tweet
1545768039978770436,2022-07-09 13:53:14+00:00,"b'Do the Math:\n\n1962\nGas: 30-cents/gal\nMed. household income  $6,000\nMileage: 14 mpg\nDist. per 1/1,000 of income: 280 mi\n\n2022\nGas: $5.00/gal\nMed. household income  $75,000\nMileage: 25 mpg\nDist. per 1/1,000 of income: 375 mi\n\nWe travel father today on earned money than 60 yrs ago. https://t.co/Au9iYz3GUj'"
1545163471251275776,2022-07-07 21:50:53+00:00,"b'There I was, all these years, thinking conservative Republicans were all about minimizing how much the Government should meddle in our private lives.'"
1544123898064769024,2022-07-05 01:00:00+00:00,"b'Watching colorful Fireworks tonight?\n\nThank a Chemist. As well as Aluminum, Barium, Calcium, Chlorine, Copper, Nitrogen, Oxygen, Sodium, &amp; Strontium. https://t.co/wGOsxflEW3'"
1544008388048207872,2022-07-04 17:21:00+00:00,"b'US Independence Day\n\nCelebrating the badass moment when the American Colonists declared their independence from the King of England, five years before that independence was actually won.\n\n[USS Intrepid aircraft carrier, now Sea, Air &amp; Space Museum, NYC, -- July 4, 2012] https://t.co/e6mucMVxOR'"
1543998990655651842,2022-07-04 16:43:40+00:00,"b'July 4, 2022\n\nHappy Aphelion to Planet Earth. In our oval orbit, it\xe2\x80\x99s when Earth is farthest from the Sun \xe2\x80\x94 3% more distant than six months from now.\n\nAstrophysicists worldwide, but especially in the USA, might be seen today celebrating with fireworks. https://t.co/OWhx4coOcp'"
1539253247990452228,2022-06-21 14:25:46+00:00,b'No 8 was not a test. It was just a plain old \xe2\x80\x9cwordo\xe2\x80\x9d \xe2\x80\x94 the word equivalent of a \xe2\x80\x9ctypo\xe2\x80\x9d. Should have said \xe2\x80\x9cSouthern Hemisphere days begin to lengthen\xe2\x80\x9d. Thanks to all those who caught it.'
1539166230720008198,2022-06-21 08:40:00+00:00,"b'and\xe2\x80\xa6\n\nAlong the equator, sitting exactly between two hemispheres that always trend in opposite ways, the duration of sunlight &amp; darkness remains unchanged throughout the year.  There are no astronomical seasons, and their twilight is always the shortest -- less than 30 mins.'"
1539163666918121473,2022-06-21 08:29:49+00:00,"b'June 21, 2022\nWelcome to the Solstice. On this day\xe2\x80\xa6\n\n7.  the Northern Hemisphere days begin to shorten\n\n8.  the Northern Hemisphere days being to lengthen\n\n...'"
1539161309912219648,2022-06-21 08:20:27+00:00,"b'June 21, 2022\nWelcome to the Solstice.  On this day\xe2\x80\xa6\n\n4. the Northern Hemisphere sees max sunlight - first day of Summer\n\n5. the Southern Hemisphere sees min sunlight - first day of Winter\n\n6. the World experiences the longest twilight of the year\n\n...'"
1539160857078382592,2022-06-21 08:18:39+00:00,"b'June 21, 2022\nWelcome to the Solstice.  On this day...\n\n1. the North Pole tips directly to the Sun - 23.5 degrees\n\n2. the entire Arctic circle never sees sunset\n\n3. the entire Antarctic circle never sees daylight\n\n...'"
1535688970545373184,2022-06-11 18:22:36+00:00,"b'Speaking of children\'s books, I once daydreamed that @levarburton read ""Goodnight Moon"" to me.\n\nhttps://t.co/rsfzs9XJYg'"
1535051566025424896,2022-06-10 00:09:47+00:00,"b'Banned in Pennsylvania\n\nA biography called StarStruck portrays an actual (non-violent) Police encounter in my teens. From my apartment building\xe2\x80\x99s roof, they thought my telescope was a weapon.\n\nApparently they don\xe2\x80\x99t want you to see what can happen between Police &amp; people of color. https://t.co/mysDB3VZNI'"
1534738911733465088,2022-06-09 03:27:25+00:00,b'Do you want to live forever?\n\n[Video: 9 min]\nhttps://t.co/5JybiQNzxP'
1531044826925486082,2022-05-29 22:48:26+00:00,"b'8:12 pm, NYC Time\nSunday, May 29, 2022\nMonday, May 30, 2022\n\nCrowds gather. Traffic halts. Cross streets glisten with fiery orange light, rendering otherwise-shadowed urban canyons aglow. Behold sunset on the Manhattan grid. Behold #Manhattanhenge. https://t.co/l0tus96gqp'"
1530671626894774272,2022-05-28 22:05:29+00:00,"b'Hockey great Mark Messier, upon learning as a @NYRanger that the @StanleyCup double\xe2\x80\x99s off-season as the @NASAHubble Space Telescope. https://t.co/DdMhld3Eft'"
1530664159792312320,2022-05-28 21:35:48+00:00,"b'@mechjacktv @NYRangers @TheGarden @StanleyCup Sounds like you already know the answer.  All scientific discoveies build on previous work.\n\nHenrietta Leavitt in 1908, eighteen years earlier.\n\nHubble\xe2\x80\x99s discovery was enabled by his monster 100-inch telescope on Mt. Wilson, California.'"
1530656427047587843,2022-05-28 21:05:05+00:00,b'@Rizeberg No.  Your lungs already mixed your bood with oxygen.'
1530655940676132866,2022-05-28 21:03:09+00:00,"b'The @NYRangers were founded in 1926, as center ice at @TheGarden reminds us.\n\nThe same year astrophysicist Edwin Hubble discovered that our galaxy \xe2\x80\x94 the Milky Way \xe2\x80\x94 is a small part of a vastly larger universe that also contains the @StanleyCup. https://t.co/FXkLJRjljI'"
1526629951880822786,2022-05-17 18:25:18+00:00,"b'Cute cat videos go viral instantly.\n\nNearly seven billion smart phones in the world.  Imagine video of an extraterrestrial ship landing, with aliens disembarking. I\xe2\x80\x99m thinking that would go viral too.'"
1526516497715286016,2022-05-17 10:54:29+00:00,"b'I\xe2\x80\x99m thinking that if Space Aliens were actively visiting Earth from across the galaxy, we would not need Congressional Hearings to establish this fact.  Just sayin\xe2\x80\x99. https://t.co/6log7RToMV'"
1526041155837825024,2022-05-16 03:25:38+00:00,"b'Lunar eclipses occur on average every two or three years and are visible to all the billions of people who can see the Moon when it happens. \n \nSo, contrary to what you may have been told, lunar eclipses are not rare.'"
1526034149546639361,2022-05-16 02:57:48+00:00,b'Lunar eclipses are so un-spectacular that if nobody told you what was happening to the Moon you\xe2\x80\x99d probably not notice at all.\n\nJust sayin\xe2\x80\x99.'
1526033392936132608,2022-05-16 02:54:47+00:00,"b'Unlike solar eclipses, which are location-dependent, everyone on the side of Earth facing the full Moon (i.e. the Sun has set for you) can witness a lunar eclipse.'"
1526031413337903104,2022-05-16 02:46:55+00:00,"b'Decades ago, when there was more air pollution, sunsets were often beet-red. That color would refract into Earth\xe2\x80\x99s shadow in space tinting the fully eclipsed Moon. \n\nHaven\xe2\x80\x99t seen that effect in years. The Moon more commonly goes dark, leaving nothing \xe2\x80\x9cbloody\xe2\x80\x9d about the Blood Moon'"
1526029500269711361,2022-05-16 02:39:19+00:00,"b'Dear Earthlings currently in darkness:\n\nRight about now, the full Moon is passing into Earth\xe2\x80\x99s conical shadow in space. The event is long and boring, lasting 3.5 hours.  For the middle 84 minutes, the Moon is all but fully darkened as it enters the deepest part of Earth\xe2\x80\x99s shadow.'"
1525230770448637954,2022-05-13 21:45:27+00:00,"b'@GuestSt18702890 @NASA @elonmusk @SpaceForceCSO @SpaceForceDoD @ScienceNews Lunar phases are just the Sun illuminaing the Moon in different amounts during the Moon\xe2\x80\x99s moonthly orbit around Earth.  Has nothing to do with Earth\xe2\x80\x99s shadow. Occasionally, the Moon\xe2\x80\x99s path enters Earth\xe2\x80\x99s shadow. That can happen only during Full Moon.  Behold, a Lunar eclipse.'"
1525228178725380097,2022-05-13 21:35:09+00:00,b'@bd_zero_g @StarTalkRadio It doesn\xe2\x80\x99t. That\xe2\x80\x99s part of what defines our cosmic horizon.'
1525150630628798465,2022-05-13 16:27:00+00:00,b'@INSIGHS No. You saw four dimensions projected onto three dimensions filmed in two dimensions.'
1525147310916780033,2022-05-13 16:13:49+00:00,"b""Just created my own Tesseract portal.  But don't tell anybody. https://t.co/vpSC6QtiXz"""
1522283656013885442,2022-05-05 18:34:40+00:00,b'If interested\xe2\x80\xa6\n\nSome thoughts on Abortion\n[600 words]\n\nhttps://t.co/oLxH7DR2bH https://t.co/fOyh6KSWZA'
1521883616623611904,2022-05-04 16:05:04+00:00,b'May the 4th be with you.'
1520629890537730049,2022-05-01 05:03:12+00:00,"b'If a human bites a Vampire then shouldn\xe2\x80\x99t the Vampire turn back into a human?\n\nAnd while we\xe2\x80\x99re at it, if a human bites a Zombie shouldn\xe2\x80\x99t it cure the Zombie too?'"
1518436512144236545,2022-04-25 03:47:30+00:00,"b""I don't know anyone who drinks liquids from cups with holes in their bottoms.  So you are describing a different world. https://t.co/2IkNZQmgEF"""
1518435591947489286,2022-04-25 03:43:50+00:00,"b""@cubosh If the arrow of time reversed, then so would the vocabulary describing the events.  So I think we're good here."""
1518434939326406656,2022-04-25 03:41:15+00:00,b'If you watched the glass long enough (over days) you will see the level slowly drop as the water evaporates from its surface.\n\nThat counts as half-empty. https://t.co/z5anbj3jbn'
1518434055662014464,2022-04-25 03:37:44+00:00,"b""@sum_prodigalson I would instead say, please continue pouring, it's only half-full."""
1518433534075097093,2022-04-25 03:35:40+00:00,"b'If you are filling a glass and reach the halfway point, it\xe2\x80\x99s half-full. If you are emptying a glass and reach the halfway point, it\xe2\x80\x99s half-empty.\n\n No need to invoke your emotional state.'"
