twitter_id,date,tweet
1540090931386482688,2022-06-23 21:54:26+00:00,b'RT @DMCcomtr: Semicenk &amp; Mustafa Ceceli \xe2\x80\x9cDayan\xe2\x80\x9d \xc5\x9fimdi t\xc3\xbcm dijital platformlarda ve video klibiyle de @netdmuzik\xe2\x80\x99te yay\xc4\xb1nda! @semicenk @must\xe2\x80\xa6'
1526213365214978051,2022-05-16 14:49:56+00:00,"b""RT @murataydintr: Beykoz'un bereketli topraklar\xc4\xb1n\xc4\xb1 de\xc4\x9fere d\xc3\xb6n\xc3\xbc\xc5\x9ft\xc3\xbcrme yolculu\xc4\x9fumuzda 3 y\xc4\xb1l geride kald\xc4\xb1. \n\n\xf0\x9f\x8c\xbfTOHUM VE F\xc4\xb0DE \xc3\x9cRET\xc4\xb0M SERASI\n\xf0\x9f\x8c\xbfBEY\xe2\x80\xa6"""
1521002622865584128,2022-05-02 05:44:18+00:00,b'@ProfDemirtas \xc4\xb0yi bayramlar hocam'
1519796161418346501,2022-04-28 21:50:15+00:00,"b'Neyse, toplad\xc4\xb1'"
1519784383821103105,2022-04-28 21:03:27+00:00,b'Whatsapp.. Connecting people https://t.co/cTt6uJPfGV'
1508438531374387203,2022-03-28 13:39:05+00:00,b'@emreaydin Ya bunu sonsuza kadar sadece ikimizin anlayabilecek olmas\xc4\xb1 \xc3\xa7ok k\xc3\xb6t\xc3\xbc \xf0\x9f\xa4\xa3\xf0\x9f\x98\x81'
1508334198632898562,2022-03-28 06:44:31+00:00,b'@emreaydin Emreaaaa .. d\xc3\xbct d\xc3\xbc\xc4\x9f\xc4\x9f\xc4\x9ft \xc3\xb6t\xc3\xbcyo bu \xf0\x9f\x98\x86\xf0\x9f\x98\x86\xf0\x9f\x98\x81\xf0\x9f\x98\x84'
1502672291733377028,2022-03-12 15:46:07+00:00,b'@ufukergin Beykoz\xe2\x80\x99a gel Ufuk. \xe2\x9b\x84\xef\xb8\x8f\xf0\x9f\x98\x81'
1501667909424328704,2022-03-09 21:15:03+00:00,b'@kriptodok @Selcoin \xc4\xb0\xc5\x9fletme mezunu\xf0\x9f\x98\x8a'
1501451630868377600,2022-03-09 06:55:39+00:00,b'@Selcoin Sel\xc3\xa7uk ye\xc5\x9fillenmi\xc5\x9fiz \xf0\x9f\x98\x8e https://t.co/ylgFqP3kfc'
1493143587336654850,2022-02-14 08:42:27+00:00,b'Sevgililer g\xc3\xbcn\xc3\xbcne \xf0\x9f\x91\x87\xf0\x9f\x8f\xbc'
1485910339963305985,2022-01-25 09:40:06+00:00,b'Kara k\xc4\xb1\xc5\x9fa teslim olmu\xc5\x9fken 100 puanl\xc4\xb1k uzmanl\xc4\xb1k sorusu. NFT hakk\xc4\xb1nda kim neler biliyor ?'
1484505732338827268,2022-01-21 12:38:42+00:00,b'@ismailkaraisik @Selcoin Memleketim \xf0\x9f\x99\x8f'
1484503564034662403,2022-01-21 12:30:05+00:00,b'@Selcoin Daha da d\xc3\xbc\xc5\x9fecek kesin bilgi \xf0\x9f\xa4\x93'
1484503192918540291,2022-01-21 12:28:36+00:00,b'@Selcoin Sel\xc3\xa7uk shortla direk \xf0\x9f\xa4\xaa\xf0\x9f\xa5\xb6'
1484370943111618563,2022-01-21 03:43:05+00:00,b'Erkenciler? \xf0\x9f\xa4\x9a'
1483560385768837122,2022-01-18 22:02:13+00:00,b'10 g\xc3\xbcnde 26 milyon izlenmeye ula\xc5\x9fan \xc5\x9fark\xc4\xb1m\xc4\xb1z \xe2\x80\x9cSal\xc4\xb1ncak\xe2\x80\x9d \xf0\x9f\x91\x87\xf0\x9f\x8f\xbc \n\nhttps://t.co/beEWs0SOti'
1476852497134276608,2021-12-31 09:47:28+00:00,b'Herkese huzurlu mutlu sa\xc4\x9fl\xc4\xb1kl\xc4\xb1 bir 2022 diliyorum. Keyfiniz bol olsun \xf0\x9f\xa4\x9a \xf0\x9f\x8e\xb9\xf0\x9f\x8e\xb8\xf0\x9f\x8e\x8a\xf0\x9f\x8e\x89'
1473702132545114112,2021-12-22 17:09:03+00:00,b'@Selcoin Kesenin a\xc4\x9fz\xc4\xb1n\xc4\xb1 alm\xc4\xb1\xc5\x9fken 1\xe2\x80\x99er BTC verse daha yenilik\xc3\xa7i ve faydal\xc4\xb1 olurdu \xf0\x9f\x98\x81'
1471532980862697475,2021-12-16 17:29:37+00:00,b'@Selcoin Muslera konu\xc5\x9fuyordur anca \xf0\x9f\x98\x82'
1462851539266064388,2021-11-22 18:32:40+00:00,b'@emreaydincyz @emreaydin Milyon \xc5\x9fey var akl\xc4\xb1mda\nGitmeseydin dinlerdin..'
1455069457269895170,2021-11-01 07:09:27+00:00,b'@Selcoin Blokseverler \xf0\x9f\x98\x8e blok-rich olas\xc4\xb1calar'
1454772313853939712,2021-10-31 11:28:42+00:00,b'Aaaa mavi tikim gitmi\xc5\x9f vah vaaah \xf0\x9f\x98\x8e\xf0\x9f\x98\x8e\xf0\x9f\x98\x8e'
1454757956856205312,2021-10-31 10:31:39+00:00,b'@Selcoin Dilimde t\xc3\xbcy bitti \xf0\x9f\x98\x8a sonunda'
1454445416699863043,2021-10-30 13:49:44+00:00,b'@Selcoin video atm\xc4\xb1\xc5\x9fsa mekan farketmez wi-fi varsa derhal izlenir\xf0\x9f\x98\x8e https://t.co/VLzmovS7Tz'
1435874320618770437,2021-09-09 07:54:49+00:00,b'@Selcoin SBR \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc\xf0\x9f\x98\x8f'
1433388457074827264,2021-09-02 11:16:53+00:00,b'Instagram \xc3\xa7\xc3\xb6k\xc3\xbcnce gelenler ? \xe2\x9c\x8b\xf0\x9f\x8f\xbc'
1431272744352690185,2021-08-27 15:09:48+00:00,b'Yepyeni \xc5\x9fark\xc4\xb1m\xc4\xb1z \xc4\xb0MT\xc4\xb0YAZ sizlerle.. @jineatroushi s\xc3\xb6z-m\xc3\xbczik: @bilalsonses\n#imtiyaz\n\nhttps://t.co/dCKpJF5suX'
