twitter_id,date,tweet
1288519659470426112,2020-07-29 17:00:01+00:00,b'So many memories \xe2\x9d\xa4\xef\xb8\x8f Thanks for celebrating with us! Directioners forever #10YearsOf1D https://t.co/mW0atB9cOG'
1288166683878752256,2020-07-28 17:37:25+00:00,"b""Be sure to check out the enhanced 'This Is One Direction' playlist with videos and storylines on @Spotify now https://t.co/dUcMmJDMZ0 https://t.co/yoRXdZ6lha"""
1288067622731382785,2020-07-28 11:03:47+00:00,"b""Watch the 'Where We Are Tour \xe2\x80\x93 Live from San Siro Stadium' DVD plus exclusive bonus content 'The Road to San Siro' at 3pm UK time on @YouTube for 24hrs only https://t.co/KKZlAsV9yz https://t.co/o3YP1jWHmk"""
1287802432202760192,2020-07-27 17:30:00+00:00,b'Celebrate 10 years of One Direction! Sing along to your favourite songs with time-synced lyrics on @AppleMusic https://t.co/UIeNpRqkLo https://t.co/vodcaJgC7A'
1287783880729264129,2020-07-27 16:16:17+00:00,b'Have you explored the #10YearsOf1D website? Make sure you check back and connect via your @Spotify or @AppleMusic account to make your personalised mixtape if you haven\xe2\x80\x99t already! https://t.co/GrUHfaSMUp https://t.co/8i2h0t897C'
1287436267601289221,2020-07-26 17:15:00+00:00,b'#10YearsOf1D https://t.co/CGirZNJAcN'
1287386191243829248,2020-07-26 13:56:01+00:00,"b'RT @Spotify: Dear @onedirection, we wanna roll back like pressing rewind. We just can\xe2\x80\x99t lie, these #10YearsOf1D were the best times of our\xe2\x80\xa6'"
1287379693537304577,2020-07-26 13:30:11+00:00,"b""Guys! Have you watched the 'What Makes You Beautiful' vertical video on the \xe2\x80\x98This Is One Direction\xe2\x80\x99 @Spotify playlist!? https://t.co/dUcMmJDMZ0 https://t.co/uMHiUsUf8M"""
1287069830944821253,2020-07-25 16:58:54+00:00,b'What\xe2\x80\x99s your favourite One Direction song? https://t.co/yrGetGmOMg https://t.co/xGsyLij7Bn'
1287013570165854209,2020-07-25 13:15:21+00:00,b'Where it all began #10yearsOf1D https://t.co/lgzqNRjm2t'
1286708711872966666,2020-07-24 17:03:57+00:00,b'How well did you do? #10YearsOf1D\n\nAnswers:\n1 - Unique Selling Point\n2- 18\n3 - Story Of My Life\n4 - Rock Me\n5 - Niall\n6 - 7\n7 - Look\n8 - 12\n9 - A Screw\n10 - Louis\n\nShare this quiz with friends to see who knows One Direction best!'
1286700943673831426,2020-07-24 16:33:05+00:00,b'Have you guys seen the brand new (Re)Discover One Direction playlist on @AmazonMusic? https://t.co/XixgdDOkai https://t.co/xOIjxdNlc7'
1286675946683195392,2020-07-24 14:53:45+00:00,b'Who is the last member on screen in the History video?'
1286675944787378176,2020-07-24 14:53:45+00:00,"b'4 of the guys have matching tattoos, what is it of?'"
1286675942920851456,2020-07-24 14:53:44+00:00,b'How many songs on FOUR Deluxe did the band cowrite?'
1286675940932755456,2020-07-24 14:53:44+00:00,"b'Fill in the lyric \xe2\x80\x9cCause your friends, they ___ good\xe2\x80\x9d'"
1286675938973974529,2020-07-24 14:53:43+00:00,b'How many BRIT awards have One Direction won?'
1286675937095016449,2020-07-24 14:53:43+00:00,b'Who in the band is left handed?'
1286675934276354048,2020-07-24 14:53:42+00:00,b'Name the song \xe2\x80\x9cAs we stared at the sea\xe2\x80\xa6\xe2\x80\x9d'
1286675932397408256,2020-07-24 14:53:42+00:00,b'What was the first single all the band co-wrote on?'
1286675930530840576,2020-07-24 14:53:41+00:00,b'How many songs are on Midnight Memories Deluxe?'
1286675928622551044,2020-07-24 14:53:41+00:00,b'What did Liam originally suggest naming the band?'
1286675926080774150,2020-07-24 14:53:40+00:00,b'Quiz time! How well do you know One Direction?'
1286576193198796801,2020-07-24 08:17:22+00:00,b'Check out the \xe2\x80\x9810 Years Of One Direction\xe2\x80\x99 anniversary website now!... #10YearsOf1D https://t.co/ZXeZqWttPO https://t.co/xWozZrRUkQ'
1286445848738619392,2020-07-23 23:39:26+00:00,"b""And we're back! \xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x92\xbb\xf0\x9f\xa4\x93\nhttps://t.co/ZXeZqWttPO\n#10YearsOf1D"""
1286359170309136389,2020-07-23 17:55:00+00:00,"b""Watch the remastered 'What Makes You Beautiful' video in 4K ultra HD on @YouTube now and see what else is to come \xf0\x9f\x91\x80... https://t.co/aaY2T3QpWB"""
1286315140997099521,2020-07-23 15:00:02+00:00,"b""What\xe2\x80\x99s your best 1D moment? Watch '10 Years of One Direction' on @YouTube now! https://t.co/q2C4I2IAEp #10YearsOf1D https://t.co/jJxUJcLqv1"""
1286307743549333504,2020-07-23 14:30:39+00:00,"b'RT @Harry_Styles: And finally.. to the boys, I love you so much, and I couldn\xe2\x80\x99t be prouder of everything we achieved together. Here\xe2\x80\x99s to te\xe2\x80\xa6'"
1286307735164854272,2020-07-23 14:30:37+00:00,"b'RT @Harry_Styles: And for that, I will be forever thankful. I just can\xe2\x80\x99t believe it\xe2\x80\x99s been ten years. Thank you to our crew, our team, and\xe2\x80\xa6'"
1286307728793767939,2020-07-23 14:30:35+00:00,"b'RT @Harry_Styles: I\xe2\x80\x99ve had the pleasure of meeting and working with some of the most incredible people, and gained friendships that I know\xe2\x80\xa6'"
1286307705683091460,2020-07-23 14:30:30+00:00,b'RT @Harry_Styles: I\xe2\x80\x99ve been struggling to put into words how grateful I am for everything that\xe2\x80\x99s happened over the last ten years. I\xe2\x80\x99ve see\xe2\x80\xa6'
1286300856950947847,2020-07-23 14:03:17+00:00,b'Search \xe2\x80\x98This is One Direction\xe2\x80\x99 on Spotify to stream the enhanced playlist including videos now! https://t.co/6VR81CqPBH https://t.co/USe9pfLW1H'
1286289136262033414,2020-07-23 13:16:42+00:00,b'RT @NiallOfficial: It\xe2\x80\x99s such a major part of our lives and always will be. Cheers to US today boys and thank you to all you beautiful peopl\xe2\x80\xa6'
1286289095396921344,2020-07-23 13:16:33+00:00,b'RT @NiallOfficial: when I met these four gents there was no way I thought we would go on to do what we did. So many unbelievable memories w\xe2\x80\xa6'
1286283996012466176,2020-07-23 12:56:17+00:00,b'RT @LiamPayne: What a journey\xe2\x80\xa6 I had no idea what we were in for when I sent this text to my Dad ten years ago at this exact time the band\xe2\x80\xa6'
1286283958058192896,2020-07-23 12:56:08+00:00,b'RT @Louis_Tomlinson: Miss it every day!'
1286283951406014465,2020-07-23 12:56:06+00:00,"b'RT @Louis_Tomlinson: And to the fans. The people who gave us all these amazing opportunities. You are incredible, your unmatched level of l\xe2\x80\xa6'"
1286283924566675457,2020-07-23 12:56:00+00:00,b'RT @Louis_Tomlinson: Feeling pretty emotional today. 10 years!! Spent the morning watching old interviews and performances. Just wanted to\xe2\x80\xa6'
1286283796975845377,2020-07-23 12:55:29+00:00,"b""RT @Louis_Tomlinson: Too many incredible memories to mention but not a day goes by that I don't think about how amazing it was. @NiallOffic\xe2\x80\xa6"""
1286277685770096641,2020-07-23 12:31:12+00:00,b'Happy #10YearsOf1D Day! Relive your favourite One Direction memories here: https://t.co/GrUHfaSMUp https://t.co/yS5KsERP1y'
1285922551227531266,2020-07-22 13:00:02+00:00,b'Tomorrow! You and me got a whole lot of history #10YearsOf1D https://t.co/nwxrm5MSE9'
1021810223600807936,2018-07-24 17:31:56+00:00,b'Thank you 1D family for helping us celebrate #8YearsofOneDirection we hope you enjoyed reliving some of the amazing memories! https://t.co/BOVPIHnHWS'
1021676931123736576,2018-07-24 08:42:16+00:00,"b'RT @Harry_Styles: Wow, Eight years has passed. Thank you for all the love, thank you for all the support. Thank you for everything. \nI love\xe2\x80\xa6'"
1021515300238286849,2018-07-23 22:00:01+00:00,"b""And now I'm one step closer to being two steps far from you, when everybody wants you, everybody wants you \n\n#8YearsofOneDirection"""
1021500197430472705,2018-07-23 21:00:00+00:00,"b""You can't go to bed without a cup of tea, maybe that's the reason that you talk in your sleep \n\n#8YearsofOneDirection"""
1021485101190852608,2018-07-23 20:00:01+00:00,"b""We can make it 'til the end, nothing can come between you and I \n\n#8YearsofOneDirection"""
1021469999976845312,2018-07-23 19:00:00+00:00,"b""And if you like midnight driving with the windows down, and if you like going places we can't even pronounce \n\n#8YearsofOneDirection"""
1021454900390006784,2018-07-23 18:00:00+00:00,"b'Everybody wanna steal my girl, everybody wanna take her heart away \n\n#8YearsofOneDirection'"
1021439805756825600,2018-07-23 17:00:01+00:00,"b""I've been thinking about it lately, does it ever drive you crazy, just how fast the night changes? \n\n#8YearsofOneDirection"""
1021424703733366784,2018-07-23 16:00:01+00:00,"b""I know we only met but let's pretend it's love and never, never, never stop for anyone \n\n#8YearsofOneDirection"""
1021409605732118530,2018-07-23 15:00:01+00:00,"b'Baby, say yeah, yeah, yeah, yeah yeah and let me kiss you! \n\n#8YearsofOneDirection'"
1021403655113723905,2018-07-23 14:36:22+00:00,b'RT @NiallOfficial: #8YearsfOneDirection Wow! 8 years of amazing memories with the lads . Thank you so much for standing by us for all this\xe2\x80\xa6'
