twitter_id,date,tweet
1546643502108475392,2022-07-11 23:52:00+00:00,b'Gracias por esta locura de todos los d\xc3\xadas!!!\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/z8nOkbFHgV'
1546629270642073606,2022-07-11 22:55:27+00:00,b'Aqu\xc3\xad @maurofederico fue testigo de las amenazas https://t.co/205OyLHmYU'
1546620919384350721,2022-07-11 22:22:16+00:00,b'del canal ya que inmediatamente puse la llamada en altavoz. Lo grave es que la amenaza haya partido de alguien que deber\xc3\xada practicar la libertad de expresi\xc3\xb3n y de informar. Ma\xc3\xb1ana contar\xc3\xa9 todos los detalles en mis programas de @Radio10 y @C5N.'
1546620916372758529,2022-07-11 22:22:15+00:00,"b'Efectivamente fui amenazado por Daniel Vila, uno de los due\xc3\xb1os de @AmericaTV y de @Edenor. Fue en un corte de #Argenzuela por @C5N, seguramente molesto por la informaci\xc3\xb3n que hablaba de problemas en su programaci\xc3\xb3n. Todo lo s\xc3\xa9 dijo fue escuchado por mis compa\xc3\xb1eros y t\xc3\xa9cnicos'"
1546616277552316417,2022-07-11 22:03:49+00:00,b'Gracias!!!!! https://t.co/bySiO1Kd6C'
1546589719655600129,2022-07-11 20:18:18+00:00,b'Una locura todo. https://t.co/oqyxt8IZrP'
1546586930946752515,2022-07-11 20:07:13+00:00,b'Otra gran tarde de #Argenzuela por @C5N.  Gan\xc3\xa1ndoles a canales de aire https://t.co/hqlKeCZIfy'
1546586365940436996,2022-07-11 20:04:58+00:00,b'Y molesta un poco. De ah\xc3\xad a amenazar\xe2\x80\xa6 https://t.co/zGV9utZIU2'
1546580823297646593,2022-07-11 19:42:57+00:00,b'Otra gran tarde de #Argenzuela por @C5N https://t.co/glSYd8ZT5v'
1546568689797013505,2022-07-11 18:54:44+00:00,b'Queremos ayudar a @Su_Gimenez en #Argenzuela por @C5N https://t.co/5uU7czTDmc'
1546550198150758400,2022-07-11 17:41:15+00:00,"b'Obvio, lo dijo en #Argenzuela por @Radio10 https://t.co/wbWECgAFmU'"
1546528326432563204,2022-07-11 16:14:20+00:00,b'Estamos en todos lados. #Argenzuela @Radio10 https://t.co/SnVqDUU9uh'
1546525698092843010,2022-07-11 16:03:54+00:00,b'Y tambi\xc3\xa9n hablo @AmealJorgeAmor en #Argenzuela por @Radio10 https://t.co/LQ5ijrTBQy'
1546515552507682816,2022-07-11 15:23:35+00:00,b'Y Riquelme sigue eligiendo a \xe2\x80\x9cArgenzuela por @Radio10 https://t.co/XNMZyzrJFx'
1546510960130723843,2022-07-11 15:05:20+00:00,b'Las declaraciones de Riquelme en #Argenzuela por @Radio10 aire ya rebot\xc3\xb3 en todos lados https://t.co/ACozAK6gH3'
1546504774308302849,2022-07-11 14:40:45+00:00,b'En #Argenzuela por @Radio10 por supuesto https://t.co/C1PJyyyQXT'
1546485786824118276,2022-07-11 13:25:18+00:00,"b'RT @Radio10: \xf0\x9f\x91\x89 #Argenzuela | \xf0\x9f\x93\xb1\xf0\x9f\x97\xa3\xef\xb8\x8f ""Hay un acuerdo pol\xc3\xadtico entre el Presidente y la Vicepresidenta y eso es muy bueno para los anuncios que\xe2\x80\xa6'"
