twitter_id,date,tweet
1545668784714723330,2022-07-09 07:18:50+00:00,b'\xec\xbd\x98\xec\x84\x9c\xed\x8a\xb8 \xec\x98\xa4\xec\xa7\x80? https://t.co/fFI65SDW1x'
1544363480110796800,2022-07-05 16:52:01+00:00,b'\xec\x97\xac\xeb\x9f\xac\xeb\xb6\x84 \xed\x8b\xb0\xec\xa0\xb8\xec\x98\x81\xec\x83\x81 11\xec\x8b\x9c\xeb\x9d\xbc\xea\xb3\xa0 \xed\x95\xa9\xeb\x8b\x88\xeb\x8b\xa4 \xec\xa7\x80\xec\x9b\x8c\xec\xa3\xbc\xec\x84\xb8\xec\x9a\x94\n\xec\x82\xb4\xeb\xa0\xa4\xec\xa3\xbc\xec\x84\xb8\xec\x9a\x94 \xe3\x85\xa0\xe3\x85\xa0... https://t.co/ZkSAHtrnb5'
1544362361766744066,2022-07-05 16:47:34+00:00,b'#mango\xf0\x9f\xa5\xad\xe2\x98\xba\xef\xb8\x8f https://t.co/c6AJIHslQ4'
1544165333921062912,2022-07-05 03:44:39+00:00,b'\xec\x8a\x88\xec\xa3\xbc\xec\x99\x80 \xec\x95\x84\xec\x9d\xb4\xed\x82\xa4\xea\xb0\x80 \xeb\xa7\x8c\xeb\x82\xac\xec\x8a\xb5\xeb\x8b\x88\xeb\x8b\xa4\n\xec\x9d\xb4\xec\xa0\x84 vol.1\xec\x9d\x98 \xed\x83\x80\xec\x9d\xb4\xed\x8b\x80 \xeb\xa7\x9d\xea\xb3\xa0\xec\x9d\x98 \xec\x95\x88\xeb\xac\xb4 \xed\x8d\xbc\xed\x8f\xac\xeb\xa8\xbc\xec\x8a\xa4\xeb\xa5\xbc \xed\x95\xb4\xec\xa4\x80 \xec\x95\x84\xec\x9d\xb4\xed\x82\xa4 \xea\xb3\xa0\xeb\xa7\x88\xec\x9b\x8c\xec\x9a\x94~!!^^\n#\xec\x8a\x88\xec\xa3\xbc#\xec\x95\x84\xec\x9d\xb4\xed\x82\xa4#\xed\x9b\x85#\xe2\x9c\x8b\xf0\x9f\x8f\xbb#\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb https://t.co/0DxjhDFNMw'
1543978511202807809,2022-07-04 15:22:17+00:00,b'#Mango\xf0\x9f\x8d\x8b https://t.co/Cbu41KTLdp'
1543272359838322690,2022-07-02 16:36:17+00:00,b'#\xec\xa0\x95\xeb\xa7\x90\xea\xb0\x90\xec\x82\xac\xed\x95\xa9\xeb\x8b\x88\xeb\x8b\xa4\xe2\x9d\xa4\xef\xb8\x8f https://t.co/4dSWUHnCDl'
1542564172210118656,2022-06-30 17:42:12+00:00,b'#happybirthdaytome\xf0\x9f\x8e\x82\xf0\x9f\x8e\x89 #0701\n#\xec\xb6\x95\xed\x95\x98\xec\xa3\xbc\xec\x8b\xa0\xeb\xaa\xa8\xeb\x93\xa0\xeb\xb6\x84\xeb\x93\xa4\xea\xb0\x90\xec\x82\xac\xed\x95\xa9\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x98\x83 https://t.co/x5p580GZCv'
1542381295011069952,2022-06-30 05:35:31+00:00,b'\xec\x95\x84\xec\xa3\xbc \xec\xb6\xa9\xea\xb2\xa9\xec\xa0\x81\xec\x9d\xb4\xeb\x84\xa4\xec\x9a\x94\xf0\x9f\x98\xb1\n\xed\x99\x95\xec\x9d\xb8\xec\x9d\x80#dontwait\xe2\x9c\x8b\xf0\x9f\x8f\xbb#\xeb\xae\xa4\xec\xa7\x81\xeb\xb9\x84\xeb\x94\x94\xec\x98\xa4 https://t.co/eGtR2qaC1H'
1542152712904753153,2022-06-29 14:27:13+00:00,b'#dontwait\xe2\x9c\x8b\xf0\x9f\x8f\xbb#\xec\xbb\xb4\xeb\xb0\xb1\xec\xa0\x84\xec\x84\xa0\xeb\xac\xbc\xeb\xae\xa4\xeb\xb9\x84#\xec\xb6\xa9\xea\xb2\xa9\xea\xb3\xbc\xea\xb3\xb5\xed\x8f\xac\xf0\x9f\x98\xb1 #\xec\x82\xac\xec\x83\x81\xec\xb4\x88\xec\x9c\xa0\xec\x9d\x98\xeb\xae\xa4\xeb\xb9\x84#\xea\xbc\xad\xeb\xb3\xb4\xec\x84\xb8\xec\x9a\x94\xe2\x80\xbc\xef\xb8\x8f https://t.co/51gq4ezGKX'
1540151957813448705,2022-06-24 01:56:56+00:00,b'\xeb\x82\x98\xeb\x8f\x84 \xec\x96\xbc\xea\xb5\xb4\xec\x97\x90 \xec\x99\x9c \xec\x8b\xa4\xec\x9d\x84 \xec\x99\x9c \xeb\xb6\x99\xed\x9e\x88\xea\xb2\x8c \xed\x96\x88\xeb\x8a\x94\xec\xa7\x80\n\xec\xa0\x84\xed\x98\x80 \xec\x95\x8c\xec\x88\x98 \xec\x97\x86\xec\x97\x88\xeb\x8b\xa4\xea\xb3\xa0 \xed\x95\x9c\xeb\x8b\xa4\n\xec\x8b\xa4 \xec\x9e\x98 \xec\xa7\x80\xec\x9b\xa0\xeb\x84\xa4\xec\x9a\x94 \xe3\x85\x8b\xe3\x85\x8b https://t.co/DMJCGxVRnX'
1539614277991948293,2022-06-22 14:20:23+00:00,b'\xf0\x9f\x92\xa2 https://t.co/MeHYABJ8qm'
1539614166473879552,2022-06-22 14:19:56+00:00,b'\xe2\x9b\x94\xef\xb8\x8f https://t.co/Tyb39sPuab'
1539613800445448192,2022-06-22 14:18:29+00:00,b'#Go\xf0\x9f\x91\x89\xf0\x9f\x8f\xbb https://t.co/cG8QY1zbsk'
1539029515732754432,2022-06-20 23:36:44+00:00,b'#start\xf0\x9f\x91\x89\xf0\x9f\x8f\xbb https://t.co/HJlCWkr9S5'
1529072986782896128,2022-05-24 12:13:03+00:00,b'\xec\xbf\xb5\xec\x9d\xb4\xec\x95\xbc\xec\xbf\xb5\xec\x9d\xb4\xec\x95\xbc\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x99\xf0\x9f\x90\xb6 https://t.co/yr6NlZhLkO'
1528672403571843075,2022-05-23 09:41:17+00:00,b'\xeb\x82\x98 \xeb\xb9\x84\xea\xb3\xb5\xea\xb0\x9c \xea\xb3\x84\xec\xa0\x95 \xec\x97\x86\xec\x96\xb4\xec\x9a\x94\n\xec\x82\xac\xec\xb9\xad \xec\xa1\xb0\xec\x8b\xac\xed\x95\x98\xec\x84\xb8\xec\x9a\x94\n#\xec\x82\xac\xec\xb9\xad#\xed\x95\xb4\xed\x82\xb9\xec\xa3\xbc\xec\x9d\x98\xeb\xb3\xb4\xf0\x9f\x9a\xa8 https://t.co/FLsePe7gqx'
1528414110819524608,2022-05-22 16:34:55+00:00,b'\xeb\xaf\xb8\xec\xb3\xa4\xeb\x8b\xa4!!!!!!!!!!!#\xec\x86\x90\xed\x9d\xa5\xeb\xaf\xbc#\xeb\x93\x9d\xec\xa0\x90\xec\x99\x95!!!#EPL#\xea\xb3\xa8\xec\x9e\xa1\xec\x9d\xb4\xe2\x9a\xbd\xef\xb8\x8f https://t.co/AMQacmXjDE'
