twitter_id,date,tweet
1546612490007728128,2022-07-11 21:48:46+00:00,b'RT @Rafaelilishayev: \xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c'
1546611324343689216,2022-07-11 21:44:09+00:00,b'Luckily I built my money and resources up they woulda starved me out\xe2\x80\xa6. Ima make that 11 million dollars one project   \xe2\x80\xa6 shit might be sponsored by a bank or one of my friends! Let\xe2\x80\x99s see what happens lol'
1546606903907782656,2022-07-11 21:26:35+00:00,b'I been signed to Atlantic/MMG since 2014 it used to be Warner  only made 11m on records out of like a 100m.. I only could drop every 9 months something a lawyer never explained to me and they removed me from all festivals also'
1546587665482530824,2022-07-11 20:10:08+00:00,b'This wasn\xe2\x80\x99t really a convo for MMG I just wanted to add that in there because Ross put me in the game also! It was for the controlled media base vibes https://t.co/GxMIVXnj8o'
1546582354361188354,2022-07-11 19:49:02+00:00,b'And roc nation is my family don\xe2\x80\x99t mix my post aimed at Atlantic mixed up with roc or MMG \xe2\x80\xa6they ain\xe2\x80\x99t stop nothing I\xe2\x80\x99m doing we made about a 100m together des mike and Hov saved my life b4 And put a lot of energy into it I\xe2\x80\x99m not behind on my favors in life wit my people I\xe2\x80\x99m good'
1546580657203253248,2022-07-11 19:42:17+00:00,b'All I seen today was meek and roc part ways \xe2\x80\xa6I\xe2\x80\x99m personally handling my own business so I can take risk and grow ..we came to that agreement together..I have a label deal with roc for my artist and I got reform super tied with them and many other investments wit jigga https://t.co/y36jgmBQJz'
1546579520509157376,2022-07-11 19:37:46+00:00,b'By the way too https://t.co/WZFIj2AM4V'
1546257600861323272,2022-07-10 22:18:34+00:00,b'I want a bad hipster chick lol'
1545892631523254273,2022-07-09 22:08:19+00:00,b'Need beats today badddddddd!'
1545867711267438594,2022-07-09 20:29:17+00:00,b'Neeed nyc or nj tattoo artist like today or tomar \xe2\x80\xa6. A top tier one!!!'
1545851647775199233,2022-07-09 19:25:28+00:00,b'I had to re make myself hungry again while having it lol it was hard but it happened!'
1544829530002563074,2022-07-06 23:43:56+00:00,b'RT @chinobraxton: Just ordered a 22 skydweller\xf0\x9f\xa4\xa9'
1544457645859512321,2022-07-05 23:06:12+00:00,b'I can tell you  if you pressure tested or not!'
1544426950495801353,2022-07-05 21:04:13+00:00,b'RT @lildurk: Shit really made up \xe2\x80\xa6 y\xe2\x80\x99all will see'
1544064501682683904,2022-07-04 21:03:59+00:00,b'My reach is getting out of control \xe2\x80\xa6..'
1544047449291063296,2022-07-04 19:56:13+00:00,b'Last night was lit as shit all great energy \xf0\x9f\x92\x8e'
1543881537279725570,2022-07-04 08:56:57+00:00,b'It\xe2\x80\x99s says im not the richest nor the smartest  but I am rich and smart  in heart in currency \xe2\x80\xa6 and I\xe2\x80\x99m in the game of winning not just talking on the sideline like you \xe2\x80\xa6. You get it\xf0\x9f\xab\xa0 https://t.co/7RL23n1O0E'
1543860708315643905,2022-07-04 07:34:11+00:00,b'https://t.co/6dFAIncAj5 my mom is my heart'
1543854182519767041,2022-07-04 07:08:15+00:00,b'Im not the sharpest knife in the drawer  but I Am sharp \xe2\x80\xa6 and im in the in the drawer  -Floyd mayweather -'
1543450891038212097,2022-07-03 04:25:43+00:00,b'The ones around you sets the tone for the way others treat you!'
1543439719643729921,2022-07-03 03:41:19+00:00,b'I can win any game wit a lil help!'
1543438743553581056,2022-07-03 03:37:26+00:00,b'Staring at ya phone for hrs a day can become a mental illness \xe2\x80\xa6. Real life really going on!'
1543370239391371264,2022-07-02 23:05:14+00:00,b'Spreading yourself to thin help people is dangerous \xe2\x80\xa6.. it will make you lose your focus point tryna comfort others!!! Focus up!'
1543369334575181824,2022-07-02 23:01:38+00:00,b'I need a fire designer to source and design my new merch??? The young top designers'
1542619913990377476,2022-06-30 21:23:42+00:00,b'What is the closet race track between nyc and philly??'
1542590493707706378,2022-06-30 19:26:48+00:00,"b""RT @doNYC: Celebrate Independence Day at The Day Party with special guests @MeekMill and friends. Fireworks and music will be poppin' off a\xe2\x80\xa6"""
1542590396425011201,2022-06-30 19:26:25+00:00,b'Get focused!'
1542267542848344065,2022-06-29 22:03:30+00:00,b'I\xe2\x80\x99m still tryna figure how to use my American Express points the right way!'
1542267303106158592,2022-06-29 22:02:33+00:00,b'How can we get even more low income people with credit cards? My people need it! https://t.co/rkcR00k9SG'
1540515720244727808,2022-06-25 02:02:23+00:00,b'RT @JoshShapiroPA: My plan to tackle rising costs will put billions of dollars back into the pockets of Pennsylvanians \xe2\x80\x94 where it belongs.\xe2\x80\xa6'
1540513954618826752,2022-06-25 01:55:22+00:00,"b'How can any group of people come up with a law  of women \xe2\x80\x9cnot\xe2\x80\x9d being able to make decisions with their  own bodies or control their own destiny??  \n#WOMANRIGHTS should come first, they are responsible for all of us\xe2\x80\xa6I knew but now I really know \xe2\x80\x9cwe are controlled\xe2\x80\x9d'"
1540106143493677057,2022-06-23 22:54:53+00:00,"b'RT @MrDre_: @MeekMill Facts\xe2\x80\xa6 \nAnd the whole time , they don\xe2\x80\x99t even know how to drive the ship, they just want the title without the work .'"
1540106007925465089,2022-06-23 22:54:20+00:00,b'RT @chinobraxton: Gotta match my energy!!'
1540078453709496321,2022-06-23 21:04:51+00:00,b'RT @mymixtapez: U.S. Supreme Court votes to allow the  carrying of firearms in public. https://t.co/fjkf1xTS9o'
1540078146048954369,2022-06-23 21:03:37+00:00,b'Some will try to sink the whole ship because they can\xe2\x80\x99t be the captain \xe2\x80\xa6'
1540028393151922177,2022-06-23 17:45:55+00:00,b'RT @AvidProTools: Anthony @teambreakitdwn Cruz talks about his relationship with @MeekMill and working with @JColeNC on That Sounds Great\xe2\x80\xa6'
1540003297251262464,2022-06-23 16:06:12+00:00,b'My lil dawg fresh out the feds I had to give him some bread \xf0\x9f\xab\xb0\xf0\x9f\x8f\xbe now am I wrong?'
1539756822785146880,2022-06-22 23:46:48+00:00,b'Extendooooo Smurk \xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e https://t.co/fcS6nFPyvP'
1539756749673992193,2022-06-22 23:46:31+00:00,b'Never forget it \xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e https://t.co/exMfLu3QIX'
1539720762122182657,2022-06-22 21:23:30+00:00,b'https://t.co/733BpN8IGZ this on some im not giving a \xe2\x80\x9cnigger\xe2\x80\x9d 42 million shit!'
1539642131496800257,2022-06-22 16:11:03+00:00,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/X6AgHt1Ty0'
1539378584502079488,2022-06-21 22:43:49+00:00,b'Don\xe2\x80\x99t wanna touch a overly accessible chick nowadays \xf0\x9f\x92\x8e'
1539313486450368512,2022-06-21 18:25:08+00:00,b'Shit really treacherous to a high level! https://t.co/3SefKEDqdp'
1539312564928057345,2022-06-21 18:21:29+00:00,b'We triple cross all double crossers \xe2\x80\xa6. Somebody gotta teach me a lesson lol'
1537908295754579969,2022-06-17 21:21:25+00:00,b'A person can watching you too much on socials and start hating you if there life not going right lol https://t.co/63Vgdf11Pp'
1537908170240061440,2022-06-17 21:20:55+00:00,b'They ain\xe2\x80\x99t get it lol https://t.co/63Vgdf11Pp'
