twitter_id,date,tweet
1544012562102161410,2022-07-04 17:37:35+00:00,"b""We're ready to fire up the night!!! Who else? Happy 4th y'all!!! \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 -Team BS"""
1543653438629842944,2022-07-03 17:50:34+00:00,"b'Happy anniversary to the woman that makes my world go round.. @gwenstefani, because of you, this year has been the best year of my life. I love you!!!! Thank you for saying yes! https://t.co/kwsnsflyHH'"
1543409135353581573,2022-07-03 01:39:47+00:00,"b""Y'all don't even know what's about to happen... @BarmageddonUSA https://t.co/DU0TP3sOQL"""
1543280562265329665,2022-07-02 17:08:53+00:00,"b""Cheers to the long weekend!!! Grab a cold one and check out what we're listening to! \xf0\x9f\x8d\xbb -Team BS https://t.co/UiTU1dshbY"""
1542955501016809473,2022-07-01 19:37:12+00:00,b'This is God\xe2\x80\x99s Country \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 Get 20% off select styles in Blake\xe2\x80\x99s store! Shop now! -Team BS https://t.co/RMu3kZfGIu https://t.co/mmJ9iGKvkk'
1542323052637298688,2022-06-30 01:44:05+00:00,"b'Back in the day I wanted this song to be a single so bad I put it on 2 different albums. We never got to it and I still regret it. Thought I\xe2\x80\x99d dig it out for y\'all. It\xe2\x80\x99s called ""I Don\xe2\x80\x99t Care."" https://t.co/eRKD6yPEE5'"
1540706308428406787,2022-06-25 14:39:43+00:00,b'Hell yeah! Thanks @pandoramusic!!! https://t.co/8Atd7W2eEP'
1539461324094291968,2022-06-22 04:12:36+00:00,"b'Thanks for having me on this one @zacbrownband!!!!! If y\xe2\x80\x99all know what\xe2\x80\x99s good for you, go stream #OutInTheMiddle now!!!\n\nhttps://t.co/noxAz6IPDR https://t.co/CEcQWif33K'"
1538931833043402754,2022-06-20 17:08:35+00:00,b'Thank y\xe2\x80\x99all for all the birthday wishes this past weekend and for y\xe2\x80\x99all who came out to party at Country Summer!!! What a damn time we had.. also.. I love you @gwenstefani!!!! https://t.co/yNWCWC0Lwv'
1538155380169228288,2022-06-18 13:43:14+00:00,"b'All BS, all the time \xf0\x9f\x98\x82 ... Happy birthday, Blake!!! -Team BS https://t.co/NcvFUmd0Z0'"
1536779726072819713,2022-06-14 18:36:53+00:00,"b'Darius it\xe2\x80\x99s \xe2\x80\x9cHold My Hand\xe2\x80\x9d not \xe2\x80\x9cHold My Waist""!!!!! @dariusrucker https://t.co/8h7nwt5Be9'"
1536761701864984578,2022-06-14 17:25:16+00:00,b'Congrats Carol!!! I can\xe2\x80\x99t believe you survived a life with me!!! \xf0\x9f\x98\x82 @Carolprezz https://t.co/ucB1eoHqHh'
1536412289544470530,2022-06-13 18:16:49+00:00,b'Hell yeah @zacbrownband!!! https://t.co/9tzDrO9byZ'
1536126426105229312,2022-06-12 23:20:54+00:00,b'Last night was hotter than the fires of hell but what a night OK! Thanks to my buddy @TroyAikman for having me! @HWYtoHenryetta https://t.co/oAcc265GzZ'
1535375854586327040,2022-06-10 21:38:24+00:00,"b""RT @TCSummerJam: Win 2 VIP Tickets to see @blakeshelton at Summer Jam on July 23!\n\nIn honor of Father's Day, we're giving you a chance to w\xe2\x80\xa6"""
1531336547525615619,2022-05-30 18:07:38+00:00,b'Thank you #Indy500!!!! What a weekend... wish my dad was able to see that. Thank you @JimmieJohnson for letting him and my brother have a spot on your helmet. Thinking about them extra today along with all the heroes who have served our country. https://t.co/QVFen0HBEO'
1530652594208645120,2022-05-28 20:49:51+00:00,b'The more we drink... the more we shop. Check out the Pure BS Collection now! -Team BS https://t.co/VTMBERxn0h https://t.co/HZDQq7NMjo'
1530294769628454913,2022-05-27 21:07:59+00:00,"b""You're welcome for all those great ideas @JimmieJohnson.. you know it's not too late to add the mullet..\xc2\xa0\n\nAlso.. y'all can enter to win the helmet and help raise money for @americanlegion. Go to https://t.co/f0sUs07t1s or text HelmetOfHeroes to 91999 for more info. https://t.co/a5rJo4nZbk"""
1530263903866957826,2022-05-27 19:05:20+00:00,b'Hey @BubbaWallace I am certain my signature ain\xe2\x80\x99t worth that kind of money but thanks for raising money for a great cause! @SCC_Charlotte https://t.co/Wzd7jjaKsE'
1529916958723952660,2022-05-26 20:06:42+00:00,"b""I'm starting to get the hang of this Grand Marshal thing.. let's do this Indy!!!! @IMS https://t.co/4vd71E5XYk"""
1529574683695276035,2022-05-25 21:26:37+00:00,"b""Have fun on @fallontonight @jimmiejohnson! Hopefully @jimmyfallon is nicer to you than he is to me.. y'all tune in tonight people!!!!"""
1528830242277806080,2022-05-23 20:08:28+00:00,"b""Hell yeah fam!!!! Now don't blame me for any of those flights you're going to miss.. @OleRed https://t.co/KhHpCeTq4p"""
1528784352775118852,2022-05-23 17:06:07+00:00,"b""Ask me how excited I am for this... actually don't... I don't think y'all can handle it... LET'S GO @AZCardinals!!!!! https://t.co/niRbiTzTZt"""
1528561829743579136,2022-05-23 02:21:54+00:00,b'Just a totally normal day.. yep.. totally normal... @NASCAR @TXMotorSpeedway https://t.co/cQRoS7DN79'
