twitter_id,date,tweet
1546587429879984128,2022-07-11 20:09:12+00:00,b'\xf0\x9f\x98\x8e @McQueenVF https://t.co/Y2VxIS3P3B'
1545198256799580163,2022-07-08 00:09:07+00:00,"b""RT @wizweedfarm: \xf0\x9f\x8c\xb1Bonjour Weed Farmers! We're back in the City of Lights for an all new  Paris #Event, now LIVE!! Spend an afternoon at the\xe2\x80\xa6"""
1545144479656693764,2022-07-07 20:35:26+00:00,b'Checc out my Taylor Gang playlist on @Spotify! \xf0\x9f\x8e\xa7\xf0\x9f\x94\xa5\n\nhttps://t.co/Wc6CT0Aadj'
1545076930612977667,2022-07-07 16:07:01+00:00,b'Columbus Ohio \xf0\x9f\x9a\xa8I\xe2\x80\x99m stopping at @KembaLive on Aug 31 with @RubixxRose &amp; @FeddTheGod \n\n\xf0\x9f\x8e\x9f https://t.co/lmpC02m6C1'
1544026919850586112,2022-07-04 18:34:38+00:00,b'Don\xe2\x80\x99t drink what everyone else is drinkin just cause they drinkin it @McQueenVF'
1544026266663206912,2022-07-04 18:32:03+00:00,b'Sharing is caring but don\xe2\x80\x99t feel bad for not wanting to share EVERYTHING'
1543259932476293120,2022-07-02 15:46:54+00:00,b'RT @TaylorGang: Houston!! @PackedBowlsWiz \xf0\x9f\x8d\xbd just launched their sweepstakes for you and a friend to win tickets to a @wizkhalifa show and m\xe2\x80\xa6'
1543254693761036288,2022-07-02 15:26:05+00:00,b'RT @TaylorGang: Happy Friday NYC! \xf0\x9f\x8e\x89 @PackedBowlsWiz just launched a sweepstakes for you and a guest to catch @WizKhalifa in concert and mor\xe2\x80\xa6'
1542999237625102337,2022-07-01 22:31:00+00:00,b'Tonight the @pflmma brings the house down in Atlanta with Welterweight action and the #1 Female Fighter in the \xf0\x9f\x8c\x8e Kayla Harrison @KaylaH\n\nTune in 6pm ET ESPN+ / 9pm ET ESPN \xf0\x9f\x9a\x80 https://t.co/svGa2RQkyM'
1542908593661304832,2022-07-01 16:30:49+00:00,b'RT @RealTaylorGang: \xf0\x9f\x8d\x84\xf0\x9f\x8d\x84 https://t.co/xuBoqtKhpZ @wizkhalifa @billboard'
1542864717043187715,2022-07-01 13:36:28+00:00,"b'RT @DailyLoud: .@WizKhalifa is back with his fire new single ""Bad Ass Bitches"" \xf0\x9f\x94\xa5\xe2\x80\xbc\xef\xb8\x8f\n\nhttps://t.co/OOnGysdPh6'"
1542864339266306055,2022-07-01 13:34:58+00:00,b'RT @RapRadar: RAPRADAR: Wiz Khalifa \xe2\x80\x9cBad Ass Bitches\xe2\x80\x9d https://t.co/emv2crS9QT'
1542659684917731333,2022-07-01 00:01:44+00:00,"b""RT @wizweedfarm: \xf0\x9f\x8c\xadHey there Weed Farmers! Independence Day is just around the corner, so that means it's time to celebrate with an all new\xe2\x80\xa6"""
1542270536105050114,2022-06-29 22:15:24+00:00,b'Always a good day for @TaylorGang Essentials \xf0\x9f\x92\xa8\xf0\x9f\x92\xa8\xf0\x9f\x92\xa8\n\nShop now - https://t.co/KplsXVZhzc https://t.co/CDKpXyXuDK'
1542193090269773824,2022-06-29 17:07:39+00:00,b'Y\xe2\x80\x99all are crazy https://t.co/zhgZ3B3pQg'
1541852989157261314,2022-06-28 18:36:13+00:00,b'RT @Rap: listening to this new Wiz Khalifa track like: https://t.co/UpPcYb6Tqv'
