twitter_id,date,tweet
1546220984210006018,2022-07-10 19:53:04+00:00,"b""RT @LindaWhitby01: @CodySimpson is the best thing to have happened for current junior swimmers by changing the narrative: you don't have to\xe2\x80\xa6"""
1545414676095418369,2022-07-08 14:29:05+00:00,b'The trident is coming. https://t.co/CZOAldorsM https://t.co/KUDVLgXIUh'
1545018039741063170,2022-07-07 12:13:00+00:00,b'Honoured to share this important message in alliance with the United Nations. #SaveOurOcean @UN https://t.co/n6WAkW2ATY'
1545017781384519681,2022-07-07 12:11:58+00:00,"b'RT @UN: ""We can all make choices in our lives to avoid making these problems even worse.""\n\n-- @UNDP Ocean Advocate @CodySimpson calls on ev\xe2\x80\xa6'"
1542895810253410307,2022-07-01 15:40:01+00:00,"b""RT @UNDP: As the @UN Ocean Conference comes to a close, our Ocean Advocate @CodySimpson, Dr. @SylviaEarle, @undpturkiye's #LifeBelowWater A\xe2\x80\xa6"""
1542410958190088192,2022-06-30 07:33:23+00:00,b'\xf0\x9f\x94\xb1 @BAZAARAustralia https://t.co/7Rh0BUm618'
1542410439400775681,2022-06-30 07:31:20+00:00,b'Thank you @GQAustralia. Read about the TRIDENT here. https://t.co/9ptsANEYQ3 https://t.co/4X8NGguZgd'
1542091543032504320,2022-06-29 10:24:09+00:00,"b'RT @pedestriandaily: Take all my money, Cody! https://t.co/Cd9ZhL2xEd'"
1542069622933004288,2022-06-29 08:57:03+00:00,b'Honoured. https://t.co/2gjWbEeRzi'
1542069583175188480,2022-06-29 08:56:53+00:00,"b'RT @UN: World leaders, climate activists, business pioneers &amp; others are meeting in Portugal to find solutions to #SaveOurOcean\xf0\x9f\x8c\x8a\xf0\x9f\xaa\xb8\xf0\x9f\x90\x9f\n\nWatch @\xe2\x80\xa6'"
1542069479210979332,2022-06-29 08:56:28+00:00,"b'RT @adeyiadoga: Every so often we hear a soul soothing song. This here my friends is that one. Every song on this album is great. Folks, go\xe2\x80\xa6'"
1541833676891234306,2022-06-28 17:19:29+00:00,"b'Elevated, sustainable essentials are almost here. Can\xe2\x80\x99t wait to show you what I\xe2\x80\x99ve been designing. Sign up at https://t.co/CZOAldorsM for an invite to get yours before anyone else. See you soon. \xe2\x80\x94 CS https://t.co/vElqSDtz4X'"
1541706624770916352,2022-06-28 08:54:37+00:00,"b'RT @UNDP: The ocean \xf0\x9f\x8c\x8a is home to most of the \xf0\x9f\x8c\x8e\xe2\x80\x99s unique, diverse and beautiful biodiversity.\n\nAs #UNOC2022 begins in Portugal, join our Oce\xe2\x80\xa6'"
1541257215914512384,2022-06-27 03:08:50+00:00,b'RT @UNBiodiversity: Why does the ocean matter to you?\xf0\x9f\x8c\x8a\xf0\x9f\x92\x99\xf0\x9f\x8c\x8f\n\nExplore why @CodySimpson and people around the world care about the ocean.\n\nThe @\xe2\x80\xa6'
1541148397205348353,2022-06-26 19:56:25+00:00,b'RT @UNDP: Coral reefs are vital to all life on Earth.\n\nBut nearly half the coral reefs in the \xf0\x9f\x8c\x8e have been destroyed by human activity and #\xe2\x80\xa6'
1540262368458178560,2022-06-24 09:15:39+00:00,b'Tomorrow I embark on my first journey as an Aussie Dolphin. Looking forward to training in Europe and then competing in England this summer. @DolphinsAUS https://t.co/Nbrd5Z8TCW'
1540251591181307905,2022-06-24 08:32:50+00:00,"b""As @UNDP Ocean Advocate, I'm honoured to join the @un chief @antonioguterres &amp; people around the world in calling for action to #SaveOurOcean. See our messages here:\xc2\xa0https://t.co/03KUbAcVj8\xc2\xa0#UNOC2022"""
1540251352911458304,2022-06-24 08:31:53+00:00,"b""RT @CommGamesAUS: Before they head to @birminghamcg22, our #FlashbackFriday to some of our Team Members' journeys to the #B2022! \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x92\x9a\xf0\x9f\x92\x9b https\xe2\x80\xa6"""
1540203993296928769,2022-06-24 05:23:42+00:00,b'RT @BAMfanNorway: My top favorite @CodySimpson songs\xf0\x9f\x94\xb1\xe2\x9c\xa8\n\n1. New Crowned King\n2. Golden Thing\n3. Nice To Meet You\n4. pirates Dream\n5. Underwa\xe2\x80\xa6'
1539776409060913152,2022-06-23 01:04:38+00:00,"b'RT @GlobalGoalsUN: We are 5 days away from the @UN Ocean Conference in Lisbon.\n\nJoin @CodySimpson, UN Secretary-General @antonioguterres an\xe2\x80\xa6'"
1539769748048982017,2022-06-23 00:38:10+00:00,b'Follow the trident. Coming soon. https://t.co/CZOAldoZik https://t.co/4PpIB4zi3W'
1539427675064107008,2022-06-22 01:58:53+00:00,b'https://t.co/n7hvFISy7J'
1537677342654738433,2022-06-17 06:03:41+00:00,"b'Do you love me? When they say that fame has changed me, when the drink almost deranged me, I could use some rearranging..'"
1537646075992997889,2022-06-17 03:59:27+00:00,b'Do you love me still? https://t.co/UCVVH7SEnT'
1537644779781357568,2022-06-17 03:54:18+00:00,b'Do you love me still?'
1537603935502204928,2022-06-17 01:12:00+00:00,b'They call me Larry long vein https://t.co/BdV211FEik'
1537285487853191168,2022-06-16 04:06:36+00:00,b'https://t.co/Axe9mmq9Jr'
1537258583469223936,2022-06-16 02:19:41+00:00,b'RT @letmarvel: So good @CodySimpson https://t.co/JAtkbbnUrI'
1536896909943918592,2022-06-15 02:22:32+00:00,"b'RT @lucyannpainterx: Sorry, but this really is a banger @CodySimpson https://t.co/YvtSgsjDMX'"
1536515153277362177,2022-06-14 01:05:34+00:00,b'Stay golden'
1536475186236915712,2022-06-13 22:26:45+00:00,b'RT @neslisahbozan: current favorite @CodySimpson song update:\n https://t.co/O578jLuseV'
1536270608291737602,2022-06-13 08:53:50+00:00,b'@Symba_Tanikaze That\xe2\x80\x99s my goal'
1536181124774625280,2022-06-13 02:58:15+00:00,b'https://t.co/Rs7eWQH2TO'
1535004767029968896,2022-06-09 21:03:50+00:00,b'Some of these \xe2\x80\x9cAcross The Sea\xe2\x80\x9d Tik Toks and Reels make me tear up. Love it. Thanks for using the song.'
1534809349973229568,2022-06-09 08:07:19+00:00,b'Anything is possible. You can do anything you set your mind to. https://t.co/LuLkEi4all'
1534782858703032326,2022-06-09 06:22:03+00:00,b'https://t.co/7wh1WbRJpu'
1534780813073870848,2022-06-09 06:13:55+00:00,b'Chip off the old block! https://t.co/yoqvmti4BN'
1534671482257031168,2022-06-08 22:59:28+00:00,"b'RT @UNDP: The ocean is a life-giving resource that needs to be taken care of.\n\nBut sadly, we have not. Species are under threat and communi\xe2\x80\xa6'"
1534655402243399680,2022-06-08 21:55:35+00:00,"b'RT @UNDP: There are things that ALL of us can do to make a difference, protect our ocean and #BeatPlasticPollution.\n\nOur choices can inspir\xe2\x80\xa6'"
1533412609877504000,2022-06-05 11:37:10+00:00,"b'Saw @ElvisMovie last night, it was filmed in my hometown. It was perfect. Congrats @bazluhrmann. https://t.co/QVbceBv3Bs'"
1533222637715230721,2022-06-04 23:02:17+00:00,b'https://t.co/DRfuK9gp9X'
1532892998429982721,2022-06-04 01:12:25+00:00,b'Sometimes I wonder how I landed a part in this surreal life of mine?! https://t.co/XnxtJ99EAK'
1531851919454801920,2022-06-01 04:15:32+00:00,b'Worth sharing. https://t.co/guqXZnKxMl'
1531078328924647424,2022-05-30 01:01:34+00:00,b'One of the monumental moments of my life thus far. Honoured to have made my first Australian team. It\xe2\x80\x99s a dream. @DolphinsAUS #Birmingham2022 https://t.co/IUkNTuswZ1'
1530369661128540160,2022-05-28 02:05:34+00:00,b'Vision. https://t.co/eALxXmdDe1'
1530368131004497921,2022-05-28 01:59:29+00:00,b'RT @KarynelNunez: Finally got to sit down and listen to You Don\xe2\x80\x99t Know Me by @CodySimpson and I\xe2\x80\x99m mad I didn\xe2\x80\x99t make time for this one'
1529908446963073024,2022-05-26 19:32:52+00:00,"b'RT @chumchurump: Its been a long time since I was in high school, Im excited to be able to listen to Cody Simpson songs again, i know its l\xe2\x80\xa6'"
1529908417233813504,2022-05-26 19:32:45+00:00,b'RT @JulietteCerrato: I will never find another you by @CodySimpson gotta be one of my favorite songs ever! It is so beautiful it makes me w\xe2\x80\xa6'
1529747762497351680,2022-05-26 08:54:22+00:00,b'@KimberlyAnneAR Love this'
1529747747209121792,2022-05-26 08:54:18+00:00,b'RT @KimberlyAnneAR: It\xe2\x80\x99s kinda wild that my music taste in middle school was the OLD Cody Simpson music and then like as I\xe2\x80\x99ve gotten older\xe2\x80\xa6'
1529747191795175424,2022-05-26 08:52:06+00:00,b'RT @kylesockwell: What @CodySimpson is doing right now should be an inspiration to current swimmers thinking they need a break and any swam\xe2\x80\xa6'
1529745798187327488,2022-05-26 08:46:34+00:00,b'RT @swimswamnews: How To Get The Summer Preview SwimSwam Magazine with The Cody Simpson Cover https://t.co/nujWGilmbp via @swimswamnews'
1529295447743164416,2022-05-25 02:57:02+00:00,b'Australian Dolphin #838. Looking forward to representing my country in Birmingham this year with my teammates. @DolphinsAUS @CommGamesAUS https://t.co/GJLyj8LCYl'
1529283379925221376,2022-05-25 02:09:05+00:00,b'@JessJackson_1 Thank you for the kind words Jess! Agreed. All the best'
1529279112120238080,2022-05-25 01:52:07+00:00,b'Just because your path has never been walked doesn\xe2\x80\x99t mean you can\xe2\x80\x99t walk it.'
1529279057703346177,2022-05-25 01:51:54+00:00,"b'Dig deep, be tough and go all-in otherwise don\xe2\x80\x99t go in at all. Words I told myself all year in the lead-up to making this Australian team. So many told me it couldn\xe2\x80\x99t be done because it had never been done.'"
1529278702038949888,2022-05-25 01:50:29+00:00,b'You can do whatever you set your mind to.'
1529244347031769088,2022-05-24 23:33:58+00:00,b'@scooterauhl Anything\xe2\x80\x99s possible'
1529243978226618368,2022-05-24 23:32:31+00:00,b'@bensquag Elite tweet'
1529243223855890432,2022-05-24 23:29:31+00:00,"b""RT @UNDP: Congratulations to our Ocean Advocate @CodySimpson!\n\nYou've made big strides to join the #Australian Commonwealth Games team, all\xe2\x80\xa6"""
1528931224655626241,2022-05-24 02:49:44+00:00,b'https://t.co/KoewaO7k7E'
1528930156790030343,2022-05-24 02:45:30+00:00,b'RT @TSN_Sports: Cody Simpson\xe2\x80\x99s reaction to making the Australian Commonwealth Games Team for swimming is so awesome \xf0\x9f\xa5\xba\n\n(\xf0\x9f\x8e\xa5: @CodySimpson) ht\xe2\x80\xa6'
1528616312611942400,2022-05-23 05:58:23+00:00,b'RT @SwimmingAUS: Swimming Australia has proudly nominated 46 athletes to compete at the Commonwealth Games in Birmingham from July 28.\n\nThe\xe2\x80\xa6'
1528616165937127425,2022-05-23 05:57:48+00:00,b'The moment you find out you made your first Australian team. @DolphinsAUS https://t.co/SsGlMcoO0e'
1528141830571032576,2022-05-21 22:32:58+00:00,b'51.79. Honoured to have flown into the list of Top 10 Australian 100m butterfly swims of all-time. What a week it\xe2\x80\x99s been. Thankful for the work and focus that has brought me here. Thank you all for the love and support.'
1527776121793970177,2022-05-20 22:19:46+00:00,b'https://t.co/M5TvZ6OaHf'
1527520243270094848,2022-05-20 05:23:00+00:00,"b""RT @Olympics: Cody Simpson \xf0\x9f\x87\xa6\xf0\x9f\x87\xba doesn't just swim for fun.\n\nThe singer is determined to prove his doubters wrong at the Australian #Swimming\xe2\x80\xa6"""
1527515769453432833,2022-05-20 05:05:13+00:00,"b'RT @LMcKirdy7: ""He doesn\xe2\x80\x99t want to just be a pop star who gets attention, he wants to be a swimmer who gets attention because he\xe2\x80\x99s good at\xe2\x80\xa6'"
1527514410490527745,2022-05-20 04:59:49+00:00,b'RT @SwimmingWorld: From Pop Star to Elite Swimmer: Cody Simpson Stamps Pool Comeback With Huge Breakthrough - https://t.co/5oqXIAQMXm @Cody\xe2\x80\xa6'
1526896610932060161,2022-05-18 12:04:55+00:00,"b'RT @kylesockwell: You\xe2\x80\x99re reading that right, y\xe2\x80\x99all. @CodySimpson just went 51.79 in the 100 fly in prelims at Australian Trials \xf0\x9f\xa5\xb6 https://t\xe2\x80\xa6'"
1526896155212541952,2022-05-18 12:03:06+00:00,b'RT @SwimmingAUS: Watch tonight as Matt Temple defends his 50.45 Australian record against Cody Simpson and Kyle Chalmers OAM in the Men\xe2\x80\x99s 1\xe2\x80\xa6'
1525384090098483200,2022-05-14 07:54:42+00:00,b'https://t.co/TjulieFi8j'
1524961783517429761,2022-05-13 03:56:36+00:00,b'Head above water. https://t.co/JAGKxizM4y'
1524960052477665287,2022-05-13 03:49:43+00:00,b'Inspiration &amp; Execution https://t.co/fWkWsQ2Sph'
1524952132071342080,2022-05-13 03:18:15+00:00,b'Hoodie or Tee? https://t.co/P8slWe5uBU https://t.co/DMrGIUK7y0'
1524947713913143307,2022-05-13 03:00:41+00:00,b'Got Me Good or Summer Shade?'
1524947633231511569,2022-05-13 03:00:22+00:00,b'Flower or New Problems?'
1524947366909984772,2022-05-13 02:59:19+00:00,b'New Crowned King or I Will Never Find Another You?'
1524947294491131920,2022-05-13 02:59:01+00:00,b'Waiting For The Tide or Tell Me Why?'
1524946008668520463,2022-05-13 02:53:55+00:00,b'Dive or Across The Sea?'
1524945172622098432,2022-05-13 02:50:35+00:00,"b""Golden Thing or Captain's Dance With The Devil?"""
1524944507220918274,2022-05-13 02:47:57+00:00,b'La Da Dee or Pretty Brown Eyes?'
1524577566346158081,2022-05-12 02:29:51+00:00,b'We should definitely have matching guitars. Sign up to win this beauty from @DAngelicoNY  now: https://t.co/yf3Hq6P6RJ https://t.co/x95ZY6O0WP'
1522750516593594368,2022-05-07 01:29:49+00:00,b'\xe2\x80\x9cNice To Meet You\xe2\x80\x9d live &amp; acoustic with @DAngelicoNY out now. https://t.co/t3OYba4DeA'
1522750364210307073,2022-05-07 01:29:12+00:00,"b'RT @DAngelicoNY: In our latest Community video, @CodySimpson was accompanied by the sweet midrange of our Excel Tammany in this performance\xe2\x80\xa6'"
1522434512541876224,2022-05-06 04:34:07+00:00,b'@theylovetheRod Thank you'
1522434457932025856,2022-05-06 04:33:54+00:00,"b""RT @theylovetheRod: just getting around to listening to @CodySimpson's latest album &amp; it\xe2\x80\x99s FIRE \xf0\x9f\x91\x8c\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbe man\xe2\x80\x99s voice has grown so much over the\xe2\x80\xa6"""
1522410145539825664,2022-05-06 02:57:18+00:00,b'Jake Kelley &amp; Brooklyn Beckham at Venice Beach by me. https://t.co/Byoma5TKTm'
1522409908196773888,2022-05-06 02:56:21+00:00,"b'Lost rolls of film: Misty Malibu mornings, my Old Ford, and Jonathon Livingston. https://t.co/NyD57bRR0s'"
1522385497641095168,2022-05-06 01:19:21+00:00,b'\xe2\x80\x98Every man should pull a boat over a mountain once in his life.\xe2\x80\x99 - Werner Herzog'
1522385263930253312,2022-05-06 01:18:26+00:00,b'Delayed gratification is way better than instant gratification.'
1521750724648255488,2022-05-04 07:17:00+00:00,b'It\xe2\x80\x99s about that time.. Let\xe2\x80\x99s rip in. 2022 Australian Swimming Championships live on @PrimeVideoAUNZ starting May 18th. https://t.co/mcpzlEvkdJ'
1521745932127465477,2022-05-04 06:57:57+00:00,b'RT @JaidahB: \xe2\x81\xa6@CodySimpson\xe2\x81\xa9 \xf0\x9f\x96\xa4\xf0\x9f\x8c\xb9 https://t.co/FS0cQTaWq3'
1521311413306036225,2022-05-03 02:11:20+00:00,"b""RT @_itsragshere_: @CodySimpson 's new album feels like a drug , like why tf so addictive?!"""
1520652008449261569,2022-05-01 06:31:05+00:00,b'RT @iamyeferson: I was waiting for this @CodySimpson https://t.co/86a9um0u9J'
1520651993785970688,2022-05-01 06:31:02+00:00,"b'RT @jeMAYmurlot: Okay, my teenage self is so happy. I decided to sit down and listen to the new @CodySimpson album. Literally from the firs\xe2\x80\xa6'"
1519933201330089984,2022-04-29 06:54:48+00:00,b'@MatthewTargett Me and my homie Azamat just parked up our slab outside'
1519846229592899584,2022-04-29 01:09:13+00:00,b'What\xe2\x80\x99s up with it? https://t.co/hk6evKW4If'
1519846124684967936,2022-04-29 01:08:48+00:00,"b'RT @imnotluisgray: This guy I\xe2\x80\x99m dating didn\xe2\x80\x99t know about @CodySimpson at all, I told him to listen to the new album and he haven\xe2\x80\x99t stop lis\xe2\x80\xa6'"
1519601449445240833,2022-04-28 08:56:33+00:00,b'https://t.co/FfTsy0YEOL'
1519601350098956288,2022-04-28 08:56:09+00:00,b'Trying to get like Master Pakku https://t.co/xYMoiyIKkb'
