twitter_id,date,tweet
1546600813514170370,2022-07-11 21:02:23+00:00,b'What a statement from the Lionesses tonight. \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\n\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f https://t.co/2XkvSQl00A'
1545502094861500420,2022-07-08 20:16:28+00:00,b'Whooooosh!!!!!\nWell done team @MHS_HorseRacing https://t.co/3ls7AM4GBq'
1543946546538061824,2022-07-04 13:15:16+00:00,b'Come on boy\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbb https://t.co/TcAnepb8il'
1543144963554304000,2022-07-02 08:10:04+00:00,"b'Great news @btsportfootball \nEveryone, get set for more of this \xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87 https://t.co/6iQlPJ7P6j'"
1542973382957858816,2022-07-01 20:48:16+00:00,b'Congratulations to our @England u19\xe2\x80\x99s team winning The European Championships. Nice to know the future of our national team is in safe hands.'
1542898044865224712,2022-07-01 15:48:54+00:00,b'Brilliant news that @MoSalah has signed a new contract @LFC Every Liverpool fan breathes a huge sigh of relief. Makes total sense for both parties.'
1541880349789229056,2022-06-28 20:24:56+00:00,b'\xf0\x9f\xab\xa3'
1540637727280046080,2022-06-25 10:07:12+00:00,b'The best night with the best people last night. Box To Box winning @ChesterRaces under Cieren Fallon. Brilliant training @hpalmerracing and well done to all the team @MHS_HorseRacing and @nafuk https://t.co/kKfFKUZYO1'
1539680461215219714,2022-06-22 18:43:22+00:00,"b'I\xe2\x80\x99m still struggling to understand why Sadio Mane would leave Liverpool for Bayern Munich but he\xe2\x80\x99s been an outstanding player, given great service and will go down as a club legend.'"
1538109756258279424,2022-06-18 10:41:57+00:00,b'Final day at Royal Ascot. Pub Club in full swing on the booze bus. https://t.co/nzVcBHnMdB'
1537868222728388610,2022-06-17 18:42:11+00:00,b'What a race. So proud of my boy in 2nd. #FlamingRib Well done #TeamMHS https://t.co/PssKzPVDMV'
1537751857963180035,2022-06-17 10:59:47+00:00,"b'Royal Ascot Day 4.\nLet\xe2\x80\x99s have it.\nBig day for @MHS_HorseRacing with 3 runners. Flaming Rib, Hierarchy and Ibiza Love. @hpalmerracing @roudeeracing https://t.co/XoICZLpKSp'"
1537354335709016064,2022-06-16 08:40:10+00:00,b'Enjoy the summer everyone. \nExactly 50 days until the @premierleague goes again! \xe2\x9a\xbd\xef\xb8\x8f\nhttps://t.co/MMPAk7RPUf'
1536801087491121152,2022-06-14 20:01:46+00:00,b'Best week of the year #RoyalAscot https://t.co/jJMEjRqCYC'
1536229332938522624,2022-06-13 06:09:49+00:00,b'@TeleFootball And the \xe2\x80\x98everybody abuse Michael Owen\xe2\x80\x99 theme of last week continues\xe2\x80\xa6\xe2\x80\xa6.\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'
1535989262084186112,2022-06-12 14:15:52+00:00,"b'While the eldest is away, the youngest is loving life competing on her pride and joy, Jigsaw \xf0\x9f\xa7\xa9 https://t.co/v4RHbPBn8C'"
1535926534959243265,2022-06-12 10:06:36+00:00,b'@Martin_Hemming Wow! What an inaccurate pile of rubbish. Pathetic.'
1535664147538628608,2022-06-11 16:43:58+00:00,b'Arrived in Wolverhampton for tonight\xe2\x80\x99s @England v Italy game. Verging on a must win for Southgate\xe2\x80\x99s men. Join us on @C4Sport from 7pm\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xa5\xf3\xa0\x81\xae\xf3\xa0\x81\xa7\xf3\xa0\x81\xbf\xf0\x9f\xa6\x81\xe2\x9a\xbd\xef\xb8\x8f'
1535658566119456768,2022-06-11 16:21:47+00:00,"b'I only selected him from of hundreds of examples. Good job I\xe2\x80\x99m used to dressing room banter / taking stick. And you\xe2\x80\x99re right, nobody ever says anything to your face! https://t.co/MfYTTGfoFr'"
1535657622950526976,2022-06-11 16:18:03+00:00,b'\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbc https://t.co/09NhgnlLJF'
1535657090898862084,2022-06-11 16:15:56+00:00,b'What a fine example to set from a man in your responsible position. https://t.co/wG1s6Tknsp'
1535655959502143488,2022-06-11 16:11:26+00:00,b'Thanks Jacky \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc https://t.co/48jzbZd1DK'
1535549024866029569,2022-06-11 09:06:31+00:00,b'\xf0\x9f\xab\xa3\xf0\x9f\x98\x82 https://t.co/zg6sVAdn3H'
1534497482905903108,2022-06-08 11:28:04+00:00,b'Good luck to @Aid4Ummah with their fundraising efforts and their Aid 4 Ummah Cup event next month\n\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f https://t.co/P7GYTdoC58'
1534494593064095744,2022-06-08 11:16:35+00:00,"b'Delighted to announce I have joined the Football Metaverse project as an ambassador.\nJoin me on my journey in the @meta_soccer ecosystem which combines GameFi, Football and IP rights.\nMore information at: https://t.co/bbZExQZtFu https://t.co/YTd4J18a6q'"
1534274214219464704,2022-06-07 20:40:52+00:00,b'There we go. Subs made a big difference.\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xa5\xf3\xa0\x81\xae\xf3\xa0\x81\xa7\xf3\xa0\x81\xbf\xf0\x9f\xa6\x81'
1534272040664014850,2022-06-07 20:32:14+00:00,b'We are a much better team when we are positive. All our best players are attackers. Gareth needs to try and play on the front foot - play to our strengths. #GERvsENG'
1534232645147697156,2022-06-07 17:55:41+00:00,b'Germany v England live on @C4Sport Join us at 7pm\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbb'
1533761706626895877,2022-06-06 10:44:21+00:00,b'Back at the scene of our famous 5-1 win in Munich to film a feature for @C4Sport in the build up to tomorrows Germany v England game. https://t.co/LyB6BICljP'
1533512136294547459,2022-06-05 18:12:39+00:00,"b'Congratulations to @Cymru on qualifying for the @FIFAWorldCup\nThoroughly deserved and delighted they\xe2\x80\x99ll be out in Qatar, in @England\xe2\x80\x99s group for that matter!!'"
1533047824241377281,2022-06-04 11:27:38+00:00,b'Out here in the stunning city of Budapest. The Nations League kicks off for @England against Hungary on @C4Sport later today in what is a huge year for The Three Lions.'
1533041980485271552,2022-06-04 11:04:25+00:00,b'It\xe2\x80\x99s Derby Day! A few runners up and down the country for @MHS_HorseRacing but a special good luck message to @RKingscote who rides Desert Crown in the big one. All the best pal\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbb'
1532770096195809280,2022-06-03 17:04:03+00:00,b'A brilliant day for @MHS_HorseRacing at @EpsomRacecourse with Ever Given winning a Listed Race and Self Praise finishing fast to take second in The Woodcote. @hpalmerracing in red hot form. #TeamMHS @nafuk'
1532340220087214081,2022-06-02 12:35:52+00:00,b'Incredible celebrations for our incredible Queen.\n\nCongratulations to Her Majesty on an amazing achievement. #PlatinumJubilee https://t.co/KlfUPDakpx'
1531701202819420161,2022-05-31 18:16:39+00:00,b'And I got ridiculed for saying this.\nEnough said\xf0\x9f\xa4\xab https://t.co/DOXsNkBqhx'
1531596039437926401,2022-05-31 11:18:46+00:00,b'I am supporting @RNIB\xe2\x80\x99s campaign calling on the Government to improve the provision of audio description on streaming services and to make them more accessible and inclusive for blind and partially sighted viewers. Please sign the petition https://t.co/UUQ6APKCKr #DescribeIt'
1530967567422181376,2022-05-29 17:41:26+00:00,b'Congratulations @NFFC A huge club back in The Premier League after an incredible season. Take a bow Steve Cooper.'
1530901548544536576,2022-05-29 13:19:06+00:00,b'When a team beats another it doesn\xe2\x80\x99t necessarily mean they are better. Would you back Madrid to beat Liverpool if they played again next week? Or Man City for that matter who dominated them for 160/180 minutes. I\xe2\x80\x99ve so much respect for Madrid but simply think Liverpool are better https://t.co/5VLuxUECGF'
1530890570847203328,2022-05-29 12:35:29+00:00,"b'I love how this tweet has got so much traction\xf0\x9f\x98\x82. As a pundit, we are meant to give a view. I obviously got this one wrong, like a lot of people who also fancied Liverpool. Incidentally, Stevie G and Rio both said the same as me on air. But you lot know more than us\xe2\x80\xa6.\xf0\x9f\x99\x84 https://t.co/6Rx61PJfme'"
1530681608998727687,2022-05-28 22:45:08+00:00,"b'Well, I thought @LFC would have too much tonight. They didn\xe2\x80\x99t do much wrong but all credit to @realmadrid It\xe2\x80\x99s a club that simply wins on the big occasion.'"
1530671421336064001,2022-05-28 22:04:40+00:00,b'Congratulations @realmadrid https://t.co/dpYsoxF5Tj'
1530606982750777344,2022-05-28 17:48:36+00:00,b'Liverpools team as expected. As strong as it gets. Tough on Matip but Klopp has gone with the extra pace of Konate. #LIVRMA'
1530584125039575047,2022-05-28 16:17:46+00:00,b'The @btsport are ready for The @ChampionsLeague Final. https://t.co/inbAIHhQ62'
1530566023656747014,2022-05-28 15:05:51+00:00,b'Paris is bouncing. Two European heavyweights about to go head to head. It\xe2\x80\x99s a miracle that Madrid have made the final but in Liverpool they face their biggest challenge. I can see the reds winning this comfortably.'
1530239655173554177,2022-05-27 17:28:58+00:00,b'A legend joins the team! https://t.co/zanoucshtg'
1530235948038078464,2022-05-27 17:14:15+00:00,"b'Considering it was only laid 48 hours ago, it\xe2\x80\x99s understandable that there\xe2\x80\x99s concerns over the pitch. \xe2\x80\x98Very sandy\xe2\x80\x99 at present but it\xe2\x80\x99s being watered heavily so expecting it to improve by kick off. Real Madrid about to train.'"
1530200272869507073,2022-05-27 14:52:29+00:00,b'Incredible that @LFC have got to this stage of the season with virtually everyone fit. They take to the field for their last training session of the season here in 40 minutes. https://t.co/TGXhCXdb6C'
1530195746057756672,2022-05-27 14:34:30+00:00,b'Building towards the big day here in Paris. Catch our Preview Show at 6:30pm on @btsport https://t.co/tptHVuZWYL'
1528439872775659524,2022-05-22 18:17:17+00:00,"b'What an incredible end to the season. Congratulations @ManCity, commiserations @BurnleyOfficial Yet more proof that this league is the best in the world.'"
1528408654155849729,2022-05-22 16:13:14+00:00,b'Strap yourselves in.'
1528311299750383621,2022-05-22 09:46:23+00:00,b'This is it. Massive games wherever you look in The Premier League today. We\xe2\x80\x99ll be across it all on @premierleague TV for global viewers. Drama guaranteed in the company of @SteveBowercomm @NDJ_Official @swp29 @Robbie9Fowler @No1shaygiven and Steve McManaman\xe2\x9a\xbd\xef\xb8\x8f'
1528304215344521219,2022-05-22 09:18:14+00:00,"b'Big day for the Liverpool lads. Their horse, Mr McCann runs in Cologne in The German 2000 Guineas. But I guess they have other things on their mind\xe2\x80\xa6.!!!\xf0\x9f\x98\x82@MHS_HorseRacing'"
1528052291684663301,2022-05-21 16:37:10+00:00,b'What a superstar!!! Yard favourite Brad The Brief wins a Group 2 for @bertthebold and William Buick. @MHS_HorseRacing and @hpalmerracing is great form. @nafuk https://t.co/bUvfLg83lt'
1528049202181414915,2022-05-21 16:24:54+00:00,b'A monster performance by Flaming Rib to finish 2nd in The Cazoo Sandy Lane Stakes @haydockraces. A better draw and we\xe2\x80\x99d be a Group 2 winner. Roll on Royal Ascot. @MHS_HorseRacing @hpalmerracing @the_doyler @nafuk https://t.co/ZxyeGuqOUg'
1526679033815212032,2022-05-17 21:40:20+00:00,b'Steve Cooper has done the most incredible job @NFFC Great to see a team with Forests history thriving again.'
1526640834917040128,2022-05-17 19:08:33+00:00,b'I think Martin Atkinson has made a big mistake there and I\xe2\x80\x99m surprised VAR didn\xe2\x80\x99t intervene. It was a clear foul on Jota in the lead up to the goal. #SOULIV'
1526282809710628866,2022-05-16 19:25:53+00:00,b'The way that Newcastle have started it looks like the 4th spot poll result might be right.....\nArsenal 38.6%  -  Spurs 61.4%'
1526267085827063809,2022-05-16 18:23:24+00:00,"b""Huge game at St James' Park tonight!\nWho do you fancy for the final Champions League spot?"""
1525856457551396864,2022-05-15 15:11:43+00:00,b'This @premierleague season is just incredible. And it seems like it\xe2\x80\x99s going to the wire in all key areas of the table.'
1525835040227315718,2022-05-15 13:46:36+00:00,b'OMG\xf0\x9f\x91\x80'
1525551409109905412,2022-05-14 18:59:33+00:00,"b'Once the celebrations are over, the @LFC medical team will be getting straight to work - arguably the 3 most important players are on the treatment table with a @ChampionsLeague Final on the horizon.'"
1525545962642481154,2022-05-14 18:37:55+00:00,b'Long live The @TheFACup \xf0\x9f\xa5\xb3'
1525423691852554240,2022-05-14 10:32:03+00:00,b'My favourite football day of the year. #FACupFinal'
1525418472804687874,2022-05-14 10:11:19+00:00,b'@roudeeracing @DoncasterRaces @RossCoakley @MHS_HorseRacing @hpalmerracing Good luck all\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbc'
1525037224160632835,2022-05-13 08:56:22+00:00,b'Glad to help the @heerafoundatio with the great work they do.\n#MentalHealthAwareness https://t.co/bDVWkd2h01'
1524531194934800391,2022-05-11 23:25:35+00:00,b'Great to interview @DeBruyneKev after his brilliant performance. https://t.co/WG5ZJpG56v'
1524487985697284098,2022-05-11 20:33:54+00:00,b'My days\xe2\x80\xa6\xe2\x80\xa6. This fella is freakishly good @DeBruyneKev'
1524332012492005376,2022-05-11 10:14:07+00:00,b'Forever remembered #BCAFC https://t.co/epQ8HChOrF'
1524111201764007938,2022-05-10 19:36:41+00:00,"b'That\xe2\x80\x99s not good. Fabinho off with what looks like a hamstring injury. One of the first names on the team sheet, here\xe2\x80\x99s hoping he makes it back for the Champions League Final.'"
1524048643111759874,2022-05-10 15:28:06+00:00,"b'Absolutely fascinating to see how @ErlingHaaland does @ManCity. In that team, it\xe2\x80\x99s hard to see any decent striker not scoring a hat full, let alone someone as lethal as him.'"
1523924417654534144,2022-05-10 07:14:28+00:00,b'I\xe2\x80\x99d sooner face @VirgilvDijk and Joel Matip in a studio than on a football pitch that\xe2\x80\x99s for sure! https://t.co/IuRF5aAvBx'
1523336929969725446,2022-05-08 16:20:00+00:00,b'Wow - Everton have dug deep when they needed it most. HUGE result. And their fixtures look favourable. It\xe2\x80\x99s Leeds who now look the most vulnerable.'
1523200979717419008,2022-05-08 07:19:47+00:00,"b'Join me, @PeteGravesTV and @oceidon at 8pm tomorrow night for a special football/NFT podcast live on Twitter. \nI\xe2\x80\x99ll also be announcing the pre-sale date for my upcoming Legacy NFT project.\n\nhttps://t.co/uBrvgKeglP'"
1523049115801640960,2022-05-07 21:16:20+00:00,b'Fair result. Liverpool still only need City to slip once. A point might not be the worst result. The title race will go down to the wire.'
1522997927521705984,2022-05-07 17:52:56+00:00,b'It\xe2\x80\x99s got to the stage where this isn\xe2\x80\x99t actually a surprise. #BRIMUN'
