twitter_id,date,tweet
1546359360678346754,2022-07-11 05:02:56+00:00,"b'RT @SaturdayGameday: In 2018, Texas was up by 7 with 25 seconds to go. Then Will Grier and West Virginia happened \xf0\x9f\x98\xa4 https://t.co/xn9gf20t9N'"
1545867426885120000,2022-07-09 20:28:10+00:00,b'RT @taylorgiavasis: Garlic bread'
1545216169874841600,2022-07-08 01:20:18+00:00,"b'@grierchalamet @taylorgiavasis Different tree, same shirts tho \xf0\x9f\x98\x89'"
1545212719296434176,2022-07-08 01:06:35+00:00,b'July 2020 \xe2\x8f\xa9 July 2022 https://t.co/5n1jCNhxAO'
1544798698776932352,2022-07-06 21:41:25+00:00,b'RT @ProGradeDigital: Nash Grier offers another perspective and tries to open a viewer\xe2\x80\x99s mind when he gets behind the camera\xf0\x9f\x93\xb8\n\nhttps://t.co/\xe2\x80\xa6'
1542886288956596224,2022-07-01 15:02:11+00:00,b'RT @theslowfactory: The Supreme Court gutting climate enforcement is a devastating blow. It comes at the same time as their attacks on indi\xe2\x80\xa6'
1542885995665731584,2022-07-01 15:01:01+00:00,b'@JVCKJ Quite fancy that bruv'
1541167280028917760,2022-06-26 21:11:27+00:00,b'RT @jordyvotes: I really wish people would stop drastically using the scenarios of rape or incest as the sole premise for an abortion. A wo\xe2\x80\xa6'
1537620875930808320,2022-06-17 02:19:19+00:00,b'https://t.co/EGn0Gvmzr9'
1536790922767126528,2022-06-14 19:21:22+00:00,"b'@HayesGrier It was so bright last night, looked like daytime at 2am'"
1536396471662092289,2022-06-13 17:13:58+00:00,b'@angeeelicxqueen Give it a try lol'
1536395109008257024,2022-06-13 17:08:33+00:00,"b'Stretch your eyes, fix your posture, breathe deeply and don\xe2\x80\x99t pick up your phone next time you\xe2\x80\x99re bored.'"
1535688322093154304,2022-06-11 18:20:02+00:00,b'@andylewicky \xe2\x80\x9cThat was indeed the crux of the day\xe2\x80\x9d made me lol \xf0\x9f\xa4\xa3'
1532005319248732160,2022-06-01 14:25:06+00:00,b'Nature is healing'
1529435592173428736,2022-05-25 12:13:55+00:00,b'RT @ninaturner: The issue is money in politics.\n\nThey\xe2\x80\x99re allowing children to die because of the gun lobby. \n\nThey\xe2\x80\x99re allowing the planet t\xe2\x80\xa6'
1529260789869207552,2022-05-25 00:39:19+00:00,"b'RT @AOC: There is no such thing as being \xe2\x80\x9cpro-life\xe2\x80\x9d while supporting laws that let children be shot in their schools, elders in grocery sto\xe2\x80\xa6'"
1525144657855860736,2022-05-13 16:03:16+00:00,"b'@JVCKJ Instagram\xe2\x80\x99s been going downhill since 2016, worst algorithm/feed of any social media \xf0\x9f\x98\xa9'"
1524252627323609088,2022-05-11 04:58:40+00:00,b'@Amnalovesfood I am bread \xf0\x9f\xa5\x96'
1524251894549385217,2022-05-11 04:55:45+00:00,b'You are what you eat'
1522698253501755392,2022-05-06 22:02:08+00:00,b'\xe2\x80\x9cTime is our most valuable non-renewable resource\xe2\x80\x9d'
1522660852385521667,2022-05-06 19:33:31+00:00,b'@Sethrogen \xf0\x9f\x91\x80 https://t.co/aQjuTr56fs'
1521975481062490112,2022-05-04 22:10:06+00:00,b'You don\xe2\x80\x99t know patience until you drive in LA \xf0\x9f\x99\x84'
1519816109720883201,2022-04-28 23:09:32+00:00,b'\xf0\x9f\x91\x8b\xf0\x9f\x8f\x94\xf0\x9f\x8c\xa4\xe2\x98\x83\xef\xb8\x8f https://t.co/Rh9dUR6ZaA'
1518662521841803264,2022-04-25 18:45:35+00:00,b'Can\xe2\x80\x99t wait to see him play w/ his little sister \xf0\x9f\xa5\xb9 https://t.co/WKhcxsXYVb'
1517684489790533639,2022-04-23 01:59:14+00:00,b'Kids will teach you things about yourself you would otherwise never know'
1517469181393862656,2022-04-22 11:43:40+00:00,b'Every day is Earth day'
1517164323881160705,2022-04-21 15:32:17+00:00,"b'RT @MercyForAnimals: The earth is on the brink of environmental disaster. With rising temperatures, mass deforestation, and shrinking biodi\xe2\x80\xa6'"
1514782989657337859,2022-04-15 01:49:42+00:00,"b'RT @CAgovernor: CA &amp; the entire West are\xc2\xa0feeling the effects of the intensifying drought.\n\nWith our climate getting hotter and drier, it\xe2\x80\x99s\xe2\x80\xa6'"
1513568185605234688,2022-04-11 17:22:30+00:00,b'There is no future for anyone going forward without indigenous land reclamation/leadership \xf0\x9f\x8c\xb1\xf0\x9f\x8c\x8e'
1512558589788925952,2022-04-08 22:30:44+00:00,b'RT @PFF_College: Will Grier: Clutch\n\nGus Johnson: Electric\n\nThis game: EPIC\n\n@WVUfootball \n\nhttps://t.co/NaaYHv8ffB'
1512290710736625671,2022-04-08 04:46:17+00:00,b'@andylewicky Nothing beats hair with a bit of silver wisdom imo \xf0\x9f\xa4\xa3'
1512288720342294532,2022-04-08 04:38:22+00:00,b'Best cure for an LA heatwave \xf0\x9f\x8f\x82 https://t.co/dfnimHhMG0'
1512288177339260933,2022-04-08 04:36:13+00:00,b'RT @andylewicky: Was great meeting Nash and skiing with him.  Though I do worry he might have better hair than me? https://t.co/107oYNptsI'
1511059249509507074,2022-04-04 19:12:53+00:00,b'@STILLINNIE @taylorgiavasis I\xe2\x80\x99m so proud/sad at the same time \xf0\x9f\x98\xa9\xf0\x9f\x98\x94'
1511058619600556037,2022-04-04 19:10:23+00:00,b'\xf0\x9f\xa5\xb9 https://t.co/Vckh7BI9qA'
1509951318252683264,2022-04-01 17:50:22+00:00,b'@villegasfaab \xf0\x9f\x92\x80'
1509941018770116611,2022-04-01 17:09:26+00:00,b'Malakai is a HUGE queen fan \xf0\x9f\xa4\xa3'
1503952995716796418,2022-03-16 04:35:10+00:00,b'They only have the power you give them'
1503952670205231110,2022-03-16 04:33:53+00:00,b'RT @dkm14: Therapy should not have a bad connotation'
1503952165257166849,2022-03-16 04:31:52+00:00,b'Get it lifted \xf0\x9f\x9a\x90 https://t.co/mXv2qBmFNl'
1503528277251567617,2022-03-15 00:27:30+00:00,b'\xf0\x9f\x8c\xbe\xf0\x9f\xa4\x93\xf0\x9f\xa4\x8e\xf0\x9f\x91\x80 https://t.co/IxTtU7sJSb'
1501242269684277254,2022-03-08 17:03:43+00:00,b'Waking up early is always worth it till the end of the day comes around \xf0\x9f\x98\xa9'
1500151469248376832,2022-03-05 16:49:16+00:00,b'Vlogs are back @taylorgiavasis \xf0\x9f\x98\x8b\nhttps://t.co/RNjBvUs7am https://t.co/mrpNRwXIqC'
1499944592363298816,2022-03-05 03:07:13+00:00,b'RT @taylorgiavasis: 20 weeks \xf0\x9f\x8c\xb1 https://t.co/5EtBiR6NrX'
1499815715787841536,2022-03-04 18:35:06+00:00,b'RT @jimsciutto: Kids. In skateboarder\xe2\x80\x99s knee pads. Volunteering for war.'
