twitter_id,date,tweet
1543669867777101824,2022-07-03 18:55:51+00:00,b'@JustinHurwitz Woah cool'
1532851431224406017,2022-06-03 22:27:14+00:00,b'@AlexDfromTN @NathanKress \xf0\x9f\x98\x82'
1532851199195553793,2022-06-03 22:26:19+00:00,"b'Most awkward cliffhanger ever for Carly, Freddie and Pearl. Thanks to everyone for watching along with me and for sticking with this show for so many years! Hopefully we will be back with some more answers in Season 3 \xf0\x9f\x92\x95'"
1532849953503993858,2022-06-03 22:21:22+00:00,b'I love the scenes with Mrs. Benson and Millicent. They have a much more normal relationship than Mrs.Benson had with Freddie as a child \xf0\x9f\x98\x82 #iCarly'
1532849487739166720,2022-06-03 22:19:31+00:00,b'Carly is willing to do absolutely anything to save this party for Freddie \xf0\x9f\x98\x85 #iCarly'
1532848557698392065,2022-06-03 22:15:49+00:00,b'I was so excited to have the cake thrown in my face. It was the very last shot we got of the season and @jerrytrainor and I accidentally fell but we knew we had to stay in character #iCarly'
1532848172912914432,2022-06-03 22:14:18+00:00,b'@bookjaidyn killed it in her costume \xe2\x9d\xa4\xef\xb8\x8f https://t.co/vqFDXxVthv'
1532847775666229248,2022-06-03 22:12:43+00:00,b'@nathankress was way too comfortable in that mustache \xf0\x9f\x98\x82 #iCarly'
1532846548849020928,2022-06-03 22:07:50+00:00,b'During lunch break I felt like I looked like I was in The Grudge because of my Cher wig hahah https://t.co/PMkydnFDbb'
1532846104093421568,2022-06-03 22:06:04+00:00,b'Watching @jerrytrainor try not to fall in his David Bowie shoes was a highlight for me #iCarly'
1532845792704139264,2022-06-03 22:04:50+00:00,b'We had so much fun getting to do a costume party in this episode #iCarly https://t.co/byBsfw2dTD'
1532845252934897664,2022-06-03 22:02:41+00:00,b'I kept laughing during the scene where @MiaSerafino announces she wants the theme of Freddie\xe2\x80\x99s party to be \xe2\x80\x9ccrows\xe2\x80\x9d'
1532844942288007169,2022-06-03 22:01:27+00:00,b'I loved the opening scene of this episode at Shay What because we got to eat French Fries all morning while we were filming \xf0\x9f\x8d\x9f #iCarly'
1532843017303822337,2022-06-03 21:53:48+00:00,b'The Season 2 Finale of @icarly is officially up on @paramountplus and I\xe2\x80\x99m going to be live tweeting along with the episode starting at 3pm PST! \xf0\x9f\x98\x8a https://t.co/mnboBppzTw'
1522704303999250432,2022-05-06 22:26:11+00:00,b'Thanks for watching along with us and for all the support \xe2\x98\xba\xef\xb8\x8f'
1522703729807478786,2022-05-06 22:23:54+00:00,b'In the final scene it was super fun pretending to be high with @NathanKress. We tried all sorts of different weird takes. It didn\xe2\x80\x99t make it into the episode but we would dance up the stairs most takes and we couldn\xe2\x80\x99t stop laughing'
1522703649733980160,2022-05-06 22:23:35+00:00,"b'When @DivaLaci threw the glass and it broke, she just decided to do it during that take and it made it in \xf0\x9f\xa5\xb8'"
1522702738416566272,2022-05-06 22:19:57+00:00,b'I was insanely winded after doing lots of takes on the exercise bike. I\xe2\x80\x99m not very athletic and it was really hard for me to pedal and say the lines hahah'
1522702352477696000,2022-05-06 22:18:25+00:00,b'@jerrytrainor had to prepare for the fire scene in advance. It was the first time he has ever caught himself on fire in the series. Usually he just catches objects on fire but not his actual body Gahah'
1522702025380679680,2022-05-06 22:17:07+00:00,b'Carly randomly has an obsession with Ricky Martin. It\xe2\x80\x99s her greatest dream to get his autograph'
1522701682248847360,2022-05-06 22:15:46+00:00,b'Some of our awesome crew members had to push the walls of the \xe2\x80\x9cescape room\xe2\x80\x9d every time the room was supposed to get smaller. Sometimes the walls would get stuck and we\xe2\x80\x99d all just start laughing during the takes'
1522701362940706816,2022-05-06 22:14:30+00:00,b'My good friend in real life @MiaSerafino plays Freddie\xe2\x80\x99s girlfriend Pearl this season and we had an awesome time working together'
1522700280344633344,2022-05-06 22:10:11+00:00,b'It was awesome reuniting with @ItsJoshPeck and just getting to hang with him on set. I met him for the first time when I was eight years old and it really felt like we came full circle'
1522699967743242241,2022-05-06 22:08:57+00:00,b'I love how Freddie is following in Mrs. Benson\xe2\x80\x99s footsteps with his fear of germs. He won\xe2\x80\x99t go on tour because he watched a Dateline about hotel sheets \xf0\x9f\x98\x82'
1522699552452595712,2022-05-06 22:07:18+00:00,b'@ItsJoshPeck killed it as Carly\xe2\x80\x99s manager and I loved watching his rivalry with Freddie'
1522699185438396417,2022-05-06 22:05:50+00:00,b'Nathan directed this episode and did an amazing job but it was hilarious watching him give everyone directions in his chicken costume'
1522698707484905472,2022-05-06 22:03:56+00:00,b'@nathankress convinced me to give the snort laugh a shot and I wasn\xe2\x80\x99t sure about it at first and it ended up making it into the episode'
1522698370875215873,2022-05-06 22:02:36+00:00,b'I love that Mrs.Benson is obsessed with Kelly Ripa and her perfectly toned arms \xf0\x9f\x98\x82'
1522697967525793792,2022-05-06 22:01:00+00:00,b'We did about 10 takes of @DivaLaci shoving me while I was completely hidden in the sack. I had fun doing different variations of the \xe2\x80\x9cowwww\xe2\x80\x9d each time'
1522697751129034752,2022-05-06 22:00:08+00:00,b'I loved filming the opening to this episode with @DivaLaci. We wanted to bring the sack back from the original series but do it in a new way. Also the sack was surprisingly soft and comfortable inside. 10/10 would recommend'
1522695970827374592,2022-05-06 21:53:04+00:00,b'Getting ready to press play on the latest episode of @icarly at 3pm PST! Gonna follow along with @nathankress @icarly and @paramountplus and do a live watch party \xf0\x9f\x92\x95 This episode guest stars my friend @ItsJoshPeck and was directed by @NathanKress \xf0\x9f\xa4\x8d https://t.co/nv508oRUMD'
1515843002224177153,2022-04-18 00:01:49+00:00,b'Happy Easter \xf0\x9f\x8c\xb8 https://t.co/PgY1UNfzAN'
1513286008476876801,2022-04-10 22:41:14+00:00,"b'The 2022 Kid\xe2\x80\x99s Choice Awards were a blast! Made it to a 1,000 slimings with @RobGronkowski \xf0\x9f\xa7\xa1\xf0\x9f\xa7\xa1\xf0\x9f\xa7\xa1 https://t.co/nHfrPVq7k0'"
1512543519482679297,2022-04-08 21:30:51+00:00,"b'Season 2 of @icarly just dropped on @paramountplus! Lemme know if it makes you laugh \xf0\x9f\x92\x9a Also rehearsing to host The Kids Choice awards tomorrow! Can\xe2\x80\x99t wait to do 1,000 slimings with @RobGronkowski https://t.co/gtz0Qv7j4f'"
1509260954252455939,2022-03-30 20:07:06+00:00,b'https://t.co/0sRPhdNIcZ'
1506403512011280384,2022-03-22 22:52:39+00:00,b'My boys for life https://t.co/Tqt3JWziHu'
1431036389705936896,2021-08-26 23:30:37+00:00,b'Thanks so much to everybody for watching the first season of the iCarly revival. You guys are the best and we can\xe2\x80\x99t wait for you to see Season 2 \xf0\x9f\x92\x95'
1431035925136515076,2021-08-26 23:28:46+00:00,b'Has anybody ever been told \xe2\x80\x9cI love you\xe2\x80\x9d by two guys at the same time? I definitely haven\xe2\x80\x99t. Carly handled it better than I probably would\xe2\x80\x99ve. \xf0\x9f\xa4\xa3 #iCarlyFinale'
1431034841517101058,2021-08-26 23:24:28+00:00,b'I love the scene with Spencer and Millicent investing in Freddie\xe2\x80\x99s app. Millicent has a hard shell but she definitely loves Freddie and you always see it when it really counts \xe2\x9d\xa4\xef\xb8\x8f #iCarlyFinale'
1431034573048061953,2021-08-26 23:23:24+00:00,b'@DivaLaci and I had fun dressing up and wearing flower crowns when we sit on a suitcase and talk about our complicated love lives \xf0\x9f\x98\x85 We decided to do valley girl voices at the end of the scene for \xe2\x80\x9cThey\xe2\x80\x99re so cute. They\xe2\x80\x99re best friends\xe2\x80\x9d \xe2\x80\x9cSo cute\xe2\x80\x9d'
1431033897710616581,2021-08-26 23:20:43+00:00,b'For the treehouse scene where it falls out of the tree during the storm our crew actually built a set that was like a ride at an amusement park. A remote controlled the entire set and it flew from side to side on a spring. #iCarlyFinale'
1431033291767894018,2021-08-26 23:18:18+00:00,b'We got to make s\xe2\x80\x99mores and eat them in between takes around the campfire. I\xe2\x80\x99ve never actually been camping and it was my first time making s\xe2\x80\x99mores #iCarlyFinale'
1431033006706216963,2021-08-26 23:17:10+00:00,b'\xe2\x80\x9cGeorge the Bra that tells Ghost Stories\xe2\x80\x9d was one of my favorite old skits from the original iCarly so I was excited the writers had Beau mention it during the campfire scene \xf0\x9f\x92\x95 #iCarlyFinale'
1431032607198699521,2021-08-26 23:15:35+00:00,b'I think it\xe2\x80\x99s so cute watching Spencer and Millicent work together in secret to try to help Freddie sell his app \xe2\x9d\xa4\xef\xb8\x8f #iCarlyFinale'
1431032102024146947,2021-08-26 23:13:35+00:00,b'When Beau offers Carly \xe2\x80\x9ccoke with lime\xe2\x80\x9d the writers put that in because everyone knows how much I love drinking coke in real life #iCarlyFinale'
1431031826127065093,2021-08-26 23:12:29+00:00,b'Every time @DivaLaci said the line \xe2\x80\x9chelluva Bidet\xe2\x80\x9d I couldn\xe2\x80\x99t not laugh \xf0\x9f\x98\x82 #iCarlyFinale'
1431031488389160963,2021-08-26 23:11:08+00:00,b'I actually loved the luxury treehouse that Beau gets to stay in at Webicon. I wish I could stay in one in real life #iCarlyFinale'
1431030724384092160,2021-08-26 23:08:06+00:00,b'@DivaLaci and I had a lotta fun picking up the smallest twigs and really playing up having no idea how to camp or survive in the wilderness during the scene with the compass'
1431030297177452546,2021-08-26 23:06:24+00:00,b'I actually ate a few of the marshmallows off of Dutchs\xe2\x80\x99 performance dress \xf0\x9f\x98\x82 #iCarlyFinale'
1431029394789715970,2021-08-26 23:02:49+00:00,b'We switched the opening titles back to the full version of the theme song for the #iCarlyFinale and I asked if we could add in the old shot from the original title sequence where Carly throws her blue cowboy hat in the air \xe2\x9d\xa4\xef\xb8\x8f'
1431028743988924420,2021-08-26 23:00:14+00:00,b'During the opening scene where the group is packing to go to Webicon I kept messing up the \xe2\x80\x9ceverybody hands in\xe2\x80\x9d moment. I don\xe2\x80\x99t think I\xe2\x80\x99d ever been in charge of a group huddle before and it was hard to get the timing right \xf0\x9f\xa4\xa3'
