twitter_id,date,tweet
1546524866857287682,2022-07-11 16:00:35+00:00,b'Ala\xc3\xa7at\xc4\xb1 sezonun en iyi canl\xc4\xb1 sahnesi olabilirmi? Olabilir \xf0\x9f\xa4\x936 \xc5\x9fat tekila normal\xf0\x9f\x98\x8e https://t.co/ay351KW9wh'
1546461375895113728,2022-07-11 11:48:18+00:00,b'https://t.co/FBhbEmcx19'
1546399093865447424,2022-07-11 07:40:49+00:00,"b""RT @HavaForum: Rusya'ya ba\xc4\x9fl\xc4\xb1 Ebeko yanarda\xc4\x9f\xc4\xb1ndaki patlama sonras\xc4\xb1 insan sil\xc3\xbcleti olu\xc5\x9ftu. \xc4\xb0\xc5\x9fte o an... \xf0\x9f\x8c\x8b\xf0\x9f\x91\x80 https://t.co/6OXy40kg2R"""
1546398646878539779,2022-07-11 07:39:02+00:00,b'RT @SibeelDA: Bug\xc3\xbcn! @DemetAkalin \xf0\x9f\x92\x96\xf0\x9f\x92\x90\xf0\x9f\x91\xb8\xf0\x9f\x8f\xbc\xf0\x9f\x8e\xa4 https://t.co/zeFOoSh8LW'
1546187673014083585,2022-07-10 17:40:42+00:00,"b'RT @ErcanErcoyeni: Zay\xc4\xb1f halka diye bir \xc5\x9fey yoktur. O, t\xc3\xbcm zinciri tutmaktan yorulmu\xc5\x9f halkad\xc4\xb1r.'"
1546079875555102721,2022-07-10 10:32:21+00:00,b'\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc\xc5\x9eanl\xc4\xb1urfa\xf0\x9f\x92\x96\xf0\x9f\x92\x90 https://t.co/cS7s1RtmiT'
1546071451488473088,2022-07-10 09:58:53+00:00,b'@egombilir Halam\xc4\xb1 ya\xf0\x9f\xa5\xb9\xf0\x9f\xa5\xb8'
1546071199570067458,2022-07-10 09:57:53+00:00,b'RT @erenbabatas: geliyoruz babaaa\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5@DemetAkalin \xf0\x9f\xa6\x8b\xf0\x9f\x92\x96 https://t.co/cfgesthUfi'
1546048644222181376,2022-07-10 08:28:15+00:00,b'https://t.co/3MbiUcHBpa'
1545724545696514048,2022-07-09 11:00:24+00:00,b'@suleymansoylu Ayyyy selam olsun hepsine\xf0\x9f\x92\x96\xf0\x9f\x92\x90\xf0\x9f\x92\x90\xf0\x9f\x92\x90\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'
1545687266554675200,2022-07-09 08:32:16+00:00,b'@madivids \xf0\x9f\x92\x83\xf0\x9f\x8f\xbe\xf0\x9f\x92\x83\xf0\x9f\x8f\xbe\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'
1545684955635847170,2022-07-09 08:23:05+00:00,b'@atabenli Ya ataaa!!! Bayram g\xc3\xbcn\xc3\xbc valla \xc3\xa7\xc4\xb1k\xc4\xb1cam takipten heee ay\xc4\xb1p yaaaa alg\xc4\xb1 alg\xc4\xb1\xc4\xb1\xc4\xb1'
1545456603612200961,2022-07-08 17:15:42+00:00,b'@TwitPasa Yunanistan bize do\xc4\x9fru bu kdr d\xc3\xbc\xc5\x9fmanca davran\xc4\xb1rken mi?!! Yok yanl\xc4\xb1\xc5\x9fs\xc4\xb1n'
1545413348631666688,2022-07-08 14:23:49+00:00,b'@ahuutt E iyi i\xc5\x9fte iyiyide k\xc3\xb6t\xc3\xbcy\xc3\xbcde yazabiliuorum!! Kuzen bilakis kendim yazd\xc4\xb1m \xf0\x9f\x98\x9a'
1545413137909907457,2022-07-08 14:22:59+00:00,b'@MehmetZeytun11 \xf0\x9f\x98\x8f\xf0\x9f\x98\x8f\xf0\x9f\x98\x8f'
1545381129846493184,2022-07-08 12:15:47+00:00,b'Tam bayram \xc3\xbcst\xc3\xbc bodrum yal\xc4\xb1kavakta \xc3\xa7e\xc5\x9fme yolunda yol yap\xc4\xb1m\xc4\xb1 !!! Neden?? Zaten milletin can\xc4\xb1 burnunda be arkada\xc5\x9f ne \xc3\xa7ile ya'
1545359213328797701,2022-07-08 10:48:42+00:00,"b""RT @hypebilgi: Rahmi Ko\xc3\xa7'un, kalp krizi ge\xc3\xa7irerek hayat\xc4\xb1n\xc4\xb1 kaybeden Mustafa Ko\xc3\xa7 i\xc3\xa7in Beykoz Devlet Hastanesi Ba\xc5\x9fhekimine yazd\xc4\xb1\xc4\x9f\xc4\xb1 mektup. ht\xe2\x80\xa6"""
1545290396259045376,2022-07-08 06:15:15+00:00,b'Kadir nas\xc4\xb1l uyumu\xc5\x9ftur acaba\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a'
1545148806022430723,2022-07-07 20:52:37+00:00,b'Acaba d\xc3\xbcngece son kez orda uyudu\xc4\x9fnu tahmin ed\xc4\xb1om\xc4\xb1ydu\xf0\x9f\x98\x8anerden baksan ne g\xc3\xbczel bi an ya\xf0\x9f\x92\x90 https://t.co/S2FSuqmY9c'
