twitter_id,date,tweet
1532003742542880772,2022-06-01 14:18:50+00:00,b'Top Gun did it again! \xf0\x9f\x91\x8d'
1530304085366382595,2022-05-27 21:45:00+00:00,"b""Get Ready to Smoke &amp; Grill!!! \n\nSomeone will be grilling on a brand new Sportsman Series grill this Memorial weekend. Pit Boss will send it directly to the winner!\n\nAll it takes is a simple sign-up. That's it! All the details can be found in the link in my bio. https://t.co/exHlRfsZKX"""
1527031468198961161,2022-05-18 21:00:47+00:00,"b""Then there were 3! #TheMaskedSinger season finale is tonight! I'll say it's way more challenging than it looks, so congrats, finalists! I know what a journey you've been under that mask, but there can only be 1! Tune in tonight at 8/7c to see who takes it! https://t.co/9sXtvUoA4y"""
1521871642611306497,2022-05-04 15:17:29+00:00,"b""Sportsman Camp Is just around the corner! Here's a rundown of the who, what, and when!\n \nWho? All young people ages 12-18. \nWhat? Teach the joys, benefits, and importance of hunting wild game while being safe. \nWhen? June 26th - to July 2nd. \n\nLink in my bio! https://t.co/FEcUrKjBGL"""
1520546559762612227,2022-04-30 23:32:04+00:00,"b'@GitRDoneLarry Now that I am 50, I would say 49 \xf0\x9f\x98\x82'"
1518977549170266112,2022-04-26 15:37:23+00:00,"b'RT @friar_martin_dc: Well, this platform may get fun again. Glad I didn\xe2\x80\x99t delete no matter how many times I wanted to. Welcome Mr Musk. I s\xe2\x80\xa6'"
1515736903831728131,2022-04-17 17:00:13+00:00,"b'\xe2\x80\x9cI passed on to you what was MOST IMPORTANT and what had also been passed on to me. Christ died for our sins, just as the Scriptures said. He was buried, and he was RAISED from the dead on the third day, just as the Scriptures said.\xe2\x80\x9d - 1 Corinthians 15:3-4 https://t.co/1Hby4eD4eJ'"
1501710352140189701,2022-03-10 00:03:43+00:00,"b""The next batch of @MaskedSingerFOX contestants are here! Welcome to the family and good luck! Y'all be sure to watch the season premiere tonight at 8/7c! #TheMaskedSinger https://t.co/JRT6CGIMFv"""
1494412683839516677,2022-02-17 20:45:23+00:00,"b'My buddy @e3laroche teamed up with #TheBigSearch, to find &amp; recover missing &amp; exploited children. Shout out to @LVMPD &amp; @HSILasVegas for their dedication &amp; partnership \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbc\n@freeintl #called2rescue, @SertMinistries @NVChildSeekers \n@HSIKansasCity #humantrafficking https://t.co/MdRl928vb3'"
1489033418730053635,2022-02-03 00:30:06+00:00,b'6 more weeks of winter calls for my famous deer chili on the @PitBossGrills . Watch the full process in my latest Youtube video: https://t.co/VJdxD1EuGh https://t.co/1T1HZTleW7'
